Datum;Uhrzeit;Bezeichnung;Intervall;V21_AnfZ;V21_AnfB;V81_AnfZ;V81_AnfB;V381_AnfZ;V381_AnfB;TF38_AnfZ;TF38_AnfB;TF38a_AnfZ;TF38a_AnfB;TBS38_AnfZ;TBS38_AnfB;TBS38a_AnfZ;TBS38a_AnfB
19.08.2024;06:38;A151;1;1;16;2;9;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:37;A151;1;2;69;1;6;0;0;0;0;4;32;0;0;1;1
19.08.2024;06:36;A151;1;1;10;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:35;A151;1;1;7;3;19;0;0;0;0;3;6;0;0;0;0
19.08.2024;06:34;A151;1;0;0;1;11;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:33;A151;1;2;17;2;10;0;0;0;0;2;6;0;0;0;0
19.08.2024;06:32;A151;1;1;9;2;11;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:31;A151;1;4;39;0;0;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:30;A151;1;1;18;2;10;0;0;0;0;4;21;0;0;0;0
19.08.2024;06:29;A151;1;1;10;2;20;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:28;A151;1;3;30;1;9;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:27;A151;1;2;12;3;21;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:26;A151;1;1;37;1;11;0;0;0;0;1;1;0;0;0;0
19.08.2024;06:25;A151;1;1;8;3;21;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:24;A151;1;1;25;3;30;0;0;0;0;1;1;0;0;0;0
19.08.2024;06:23;A151;1;2;11;2;10;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:22;A151;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:21;A151;1;2;12;1;7;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:20;A151;1;0;0;1;18;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:19;A151;1;1;14;2;18;0;0;0;0;2;4;0;0;0;0
19.08.2024;06:18;A151;1;0;24;4;34;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:17;A151;1;1;2;2;23;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:16;A151;1;1;7;2;13;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:15;A151;1;2;5;1;8;0;0;0;0;1;1;0;0;0;0
19.08.2024;06:14;A151;1;1;24;0;0;0;0;0;0;3;37;1;1;1;1
19.08.2024;06:13;A151;1;0;0;2;15;0;0;0;0;1;1;0;0;0;0
19.08.2024;06:12;A151;1;1;15;1;9;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:11;A151;1;0;0;5;19;0;0;0;0;1;1;0;0;0;0
19.08.2024;06:10;A151;1;1;25;3;33;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:09;A151;1;1;23;2;12;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:08;A151;1;2;18;1;11;0;0;0;0;2;5;0;0;0;0
19.08.2024;06:07;A151;1;1;12;4;29;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:06;A151;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:05;A151;1;1;14;2;13;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:04;A151;1;2;19;2;27;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:03;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:02;A151;1;1;7;1;5;0;0;0;0;1;2;0;0;0;0
19.08.2024;06:01;A151;1;1;10;4;26;0;0;0;0;0;0;0;0;0;0
19.08.2024;06:00;A151;1;1;9;2;16;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:59;A151;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0
19.08.2024;05:58;A151;1;1;10;4;17;0;0;0;0;1;1;0;0;0;0
19.08.2024;05:57;A151;1;0;1;2;25;0;0;0;0;1;1;0;0;0;0
19.08.2024;05:56;A151;1;1;8;2;22;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:55;A151;1;2;17;2;25;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:54;A151;1;2;14;2;13;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:53;A151;1;0;0;2;18;0;0;0;0;1;3;0;0;0;0
19.08.2024;05:52;A151;1;0;3;4;17;0;0;0;0;2;6;0;0;0;0
19.08.2024;05:51;A151;1;2;27;0;0;0;0;0;0;1;1;0;0;0;0
19.08.2024;05:50;A151;1;1;0;2;18;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:49;A151;1;1;9;2;18;0;0;0;0;1;4;0;0;0;0
19.08.2024;05:48;A151;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:47;A151;1;3;12;2;18;0;0;0;0;1;1;0;0;0;0
19.08.2024;05:46;A151;1;1;9;2;36;0;0;0;0;1;1;0;0;0;0
19.08.2024;05:45;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:44;A151;1;0;0;1;10;0;0;1;1;3;15;0;0;0;0
19.08.2024;05:43;A151;1;1;5;2;28;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:42;A151;1;0;0;1;13;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:41;A151;1;3;22;2;24;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:40;A151;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:39;A151;1;3;13;3;30;0;0;0;0;2;2;0;0;0;0
19.08.2024;05:38;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:37;A151;1;0;0;1;14;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:36;A151;1;0;0;4;18;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:35;A151;1;1;19;0;0;0;0;0;0;1;7;0;0;0;0
19.08.2024;05:34;A151;1;3;13;0;0;0;0;0;0;1;0;0;0;0;0
19.08.2024;05:33;A151;1;1;10;2;20;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:32;A151;1;0;0;0;0;0;0;1;1;1;22;0;0;0;0
19.08.2024;05:31;A151;1;0;9;2;16;0;0;0;0;2;6;0;0;0;0
19.08.2024;05:30;A151;1;1;0;2;18;0;0;0;0;2;6;0;0;0;0
19.08.2024;05:29;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:28;A151;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:27;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:26;A151;1;1;16;1;16;0;0;0;0;1;3;0;0;0;0
19.08.2024;05:25;A151;1;1;8;1;7;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:24;A151;1;2;16;1;5;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:23;A151;1;0;8;1;7;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:22;A151;1;1;10;1;10;0;0;0;0;1;2;0;0;0;0
19.08.2024;05:21;A151;1;2;9;1;4;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:20;A151;1;0;0;2;15;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:19;A151;1;3;15;0;0;0;0;0;0;1;3;0;0;0;0
19.08.2024;05:18;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:17;A151;1;0;0;1;3;0;0;0;0;2;7;0;0;0;0
19.08.2024;05:16;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:15;A151;1;1;9;1;12;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:14;A151;1;4;30;1;6;0;0;0;0;1;10;0;0;0;0
19.08.2024;05:13;A151;1;0;2;1;8;0;0;0;0;1;1;0;0;0;0
19.08.2024;05:12;A151;1;2;18;0;0;0;0;0;0;1;2;0;0;0;0
19.08.2024;05:11;A151;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:10;A151;1;1;12;1;7;0;0;0;0;1;4;0;0;0;0
19.08.2024;05:09;A151;1;1;11;1;6;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:08;A151;1;0;0;1;14;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:07;A151;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:06;A151;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:05;A151;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:04;A151;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:03;A151;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:02;A151;1;1;11;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:01;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;05:00;A151;1;1;9;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:59;A151;1;1;10;1;8;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:58;A151;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:57;A151;1;0;0;1;11;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:56;A151;1;1;9;1;10;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:55;A151;1;1;4;1;7;0;0;0;0;2;4;0;0;0;0
19.08.2024;04:54;A151;1;1;12;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:53;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:52;A151;1;0;0;1;13;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:51;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:50;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:49;A151;1;1;8;0;0;0;0;0;0;1;2;0;0;0;0
19.08.2024;04:48;A151;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:47;A151;1;1;10;1;8;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:46;A151;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:45;A151;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:44;A151;1;2;8;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:43;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:42;A151;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:41;A151;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:40;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:39;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:38;A151;1;0;0;2;27;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:37;A151;1;1;13;1;4;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:36;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:35;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:34;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:33;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:32;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:31;A151;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:30;A151;1;2;18;1;12;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:29;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:28;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:27;A151;1;1;9;1;10;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:26;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:25;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:24;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:23;A151;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:22;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:21;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19.08.2024;04:20;A151;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
