Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D115Z;D115B;TF41Z;TF41B;TBS41Z;TBS41B;EG23Z;EG23B;EG24Z;EG24B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;FW_AnfoZ;FW_AnfoB
09.08.2024;00:29;A 24;1;0;0;1;0;0;0;2;2;0;0;1;1;0;0;1;5;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:28;A 24;1;2;2;1;1;1;13;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:27;A 24;1;1;1;0;0;1;6;0;0;1;0;2;1;1;6;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:26;A 24;1;4;2;1;1;5;17;1;6;0;0;1;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:25;A 24;1;1;8;3;14;0;0;3;19;1;1;2;2;1;8;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:24;A 24;1;0;0;2;4;1;13;2;16;2;2;3;1;4;11;1;4;0;0;0;0;1;26;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:23;A 24;1;1;1;1;0;1;7;2;5;1;1;2;1;2;6;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:22;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;22;0;0;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:21;A 24;1;1;0;1;0;1;7;1;2;0;0;2;2;0;0;1;9;1;3;1;1;1;2;2;12;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:20;A 24;1;0;0;0;0;0;0;0;0;2;22;2;3;2;10;3;7;0;0;1;17;0;0;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:19;A 24;1;1;1;0;0;1;4;0;0;0;0;0;0;0;0;1;5;0;0;1;11;1;7;1;17;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:18;A 24;1;2;1;2;2;1;11;3;9;1;1;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:17;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;22;1;7;2;13;2;19;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:16;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:15;A 24;1;1;1;1;1;3;7;1;4;2;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:14;A 24;1;0;0;1;1;0;0;3;5;0;0;1;1;1;5;1;4;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:13;A 24;1;0;0;1;33;0;0;2;4;1;0;0;0;1;3;0;0;1;1;2;22;2;4;2;17;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:12;A 24;1;1;2;1;5;0;10;3;5;1;1;2;2;1;7;2;12;1;18;0;0;1;3;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:11;A 24;1;1;1;1;1;2;11;3;3;2;2;0;0;1;11;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:10;A 24;1;2;5;0;0;1;12;0;0;0;13;0;0;0;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:09;A 24;1;3;2;2;2;5;20;1;9;1;11;1;1;1;6;1;4;0;0;1;40;0;0;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:08;A 24;1;0;0;0;0;0;0;0;0;1;1;0;0;2;7;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:07;A 24;1;1;1;2;1;0;6;5;8;0;0;0;0;0;0;0;0;1;10;0;0;1;2;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:06;A 24;1;2;2;2;2;2;14;4;10;0;0;1;0;2;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:05;A 24;1;1;1;1;1;2;5;2;4;1;1;0;0;3;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:04;A 24;1;1;21;1;25;3;9;3;5;2;0;4;4;1;4;2;18;1;20;0;0;2;4;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:03;A 24;1;3;2;0;0;5;15;0;0;0;0;2;2;0;0;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:02;A 24;1;1;1;1;0;2;7;1;3;1;1;1;1;2;8;1;5;0;0;1;2;0;0;0;16;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:01;A 24;1;1;0;1;0;1;6;2;2;0;0;2;7;1;3;2;11;1;17;0;0;1;1;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;
09.08.2024;00:00;A 24;1;1;0;1;1;0;0;1;2;0;0;1;1;0;0;1;4;0;0;0;0;2;3;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:59;A 24;1;3;2;2;1;2;18;4;6;0;0;1;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:58;A 24;1;1;1;1;1;1;7;3;4;1;1;0;0;1;7;0;0;0;0;1;34;0;0;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:57;A 24;1;0;9;1;12;0;0;0;12;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:56;A 24;1;1;17;1;14;2;11;1;22;1;1;2;1;1;5;2;16;0;0;1;22;0;0;2;4;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:55;A 24;1;2;2;0;0;2;15;0;0;1;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:54;A 24;1;1;21;1;21;4;9;2;7;0;0;2;2;0;0;2;11;2;22;0;0;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:53;A 24;1;1;1;1;3;1;8;2;6;0;0;0;0;0;0;0;0;0;0;1;21;1;4;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:52;A 24;1;1;0;0;0;2;6;0;0;1;1;0;0;2;6;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:51;A 24;1;2;2;2;1;1;20;4;4;2;1;1;0;3;8;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:50;A 24;1;3;2;0;0;2;10;0;0;0;0;1;10;0;0;1;7;0;0;1;26;0;0;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:49;A 24;1;0;0;3;3;0;0;2;9;0;0;1;1;0;0;1;3;0;0;1;31;0;0;2;7;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:48;A 24;1;0;0;1;1;0;0;0;0;1;0;1;0;1;5;0;0;0;0;1;19;0;0;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:47;A 24;1;1;1;2;1;2;14;5;12;0;0;0;0;0;0;0;0;1;16;0;0;1;4;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:46;A 24;1;2;12;2;33;0;13;4;13;2;4;2;2;2;34;2;14;1;1;2;16;1;2;2;27;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:45;A 24;1;1;0;1;2;2;10;2;7;0;0;1;30;0;0;0;0;0;0;3;31;0;0;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:44;A 24;1;1;0;0;0;1;6;0;0;1;0;0;0;1;6;1;12;1;9;1;16;3;7;1;31;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:43;A 24;1;1;1;1;1;3;6;3;4;1;1;3;5;0;4;2;13;0;0;1;22;0;0;1;10;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:42;A 24;1;3;20;1;18;1;20;1;7;1;0;1;0;1;3;2;7;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:41;A 24;1;2;45;1;49;2;60;1;4;2;4;1;2;2;36;1;10;1;7;2;24;1;4;2;11;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:40;A 24;1;1;11;1;1;1;13;1;5;0;0;1;0;0;0;1;5;1;23;0;0;1;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
08.08.2024;23:39;A 24;1;3;22;2;26;2;19;3;13;0;0;2;2;0;0;1;8;2;25;0;0;3;24;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
