Datum;Uhrzeit;Bezeichnung;Intervall;VD21Z;VD21B;V22Z;V22B;V51Z;V51B;V52Z;V52B;VD81Z;VD81B;VD82Z;VD82B;V83Z;V83B;V111Z;V111B;V112Z;V112B;TF32Z;TF32B;TBS32Z;TBS32B;TF35Z;TF35B;TBS35Z;TBS35B;TF38Z;TF38B;TBS38Z;TBS38B;TF41Z;TF41B;TBS41Z;TBS41B
15.02.2025;23:47;A 59;1;0;0;0;0;0;2;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
15.02.2025;23:46;A 59;1;0;0;0;0;1;7;0;0;0;0;0;0;2;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
15.02.2025;23:45;A 59;1;0;0;0;0;0;0;1;23;0;0;1;9;2;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
15.02.2025;23:44;A 59;1;0;0;0;0;1;10;1;2;1;4;0;3;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1
15.02.2025;23:43;A 59;1;0;0;0;0;0;0;0;0;0;0;1;4;4;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;7;0;0
15.02.2025;23:42;A 59;1;1;6;2;19;0;0;0;0;0;0;0;0;2;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0
15.02.2025;23:41;A 59;1;0;0;0;0;1;10;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
15.02.2025;23:40;A 59;1;1;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15.02.2025;23:39;A 59;1;0;0;1;12;1;4;1;30;0;0;1;7;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6;0;0
15.02.2025;23:38;A 59;1;0;0;0;0;0;0;1;3;0;0;1;12;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
