Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;Anf_32Z;Anf_32B
21.06.2024;22:49;A182;1;2;11;4;18;1;62;2;32;0;0;0;0;0;0;0;0
21.06.2024;22:48;A182;1;0;0;2;55;1;1;1;1;0;0;0;0;3;2;0;0
21.06.2024;22:47;A182;1;2;4;3;23;3;65;3;56;0;0;2;12;4;10;2;25
21.06.2024;22:46;A182;1;1;37;2;44;1;6;1;4;0;0;0;0;7;8;1;2
21.06.2024;22:45;A182;1;1;11;4;13;1;44;3;44;0;0;2;1;2;1;0;0
21.06.2024;22:44;A182;1;0;0;3;12;1;15;1;26;0;0;1;1;4;2;0;0
21.06.2024;22:43;A182;1;5;29;2;63;2;23;1;1;0;0;0;0;3;2;0;0
21.06.2024;22:42;A182;1;0;0;0;0;1;67;0;0;0;0;0;0;7;5;0;0
21.06.2024;22:41;A182;1;1;12;3;22;1;34;3;26;0;0;3;2;4;3;0;0
21.06.2024;22:40;A182;1;2;14;4;30;2;45;1;36;0;0;2;4;5;4;0;0
21.06.2024;22:39;A182;1;1;3;2;12;3;54;0;0;0;0;0;0;2;4;0;0
21.06.2024;22:38;A182;1;0;0;4;22;2;8;1;1;0;0;0;0;3;4;0;0
21.06.2024;22:37;A182;1;1;9;2;14;3;6;3;67;0;0;0;0;2;2;1;4
21.06.2024;22:36;A182;1;0;0;1;7;1;4;1;37;0;0;0;0;1;1;0;0
21.06.2024;22:35;A182;1;3;24;5;16;1;33;1;18;0;0;0;0;5;26;0;0
21.06.2024;22:34;A182;1;4;39;1;26;5;53;1;25;0;0;0;0;9;36;0;0
21.06.2024;22:33;A182;1;1;5;3;6;1;70;1;65;0;0;2;1;0;0;0;0
21.06.2024;22:32;A182;1;0;0;1;4;0;0;0;0;0;0;0;0;3;3;0;0
21.06.2024;22:31;A182;1;2;13;5;23;2;4;0;3;0;0;0;0;1;1;0;0
21.06.2024;22:30;A182;1;0;0;1;11;6;34;1;11;0;0;0;0;2;1;0;0
21.06.2024;22:29;A182;1;0;0;3;10;1;3;0;21;0;0;0;0;3;3;0;0
21.06.2024;22:28;A182;1;1;1;1;3;1;3;1;64;0;0;3;3;8;7;0;0
21.06.2024;22:27;A182;1;1;3;5;18;1;12;3;24;0;0;2;3;3;3;0;0
21.06.2024;22:26;A182;1;1;1;3;6;0;0;0;0;0;0;0;0;3;3;1;1
21.06.2024;22:25;A182;1;2;7;3;57;1;1;0;48;0;0;2;1;3;2;0;0
21.06.2024;22:24;A182;1;1;2;2;5;1;3;1;7;0;0;0;0;2;2;1;1
21.06.2024;22:23;A182;1;2;16;3;18;1;2;1;1;0;0;0;0;4;4;1;2
21.06.2024;22:22;A182;1;3;11;4;23;1;29;2;4;0;0;0;0;2;1;2;2
21.06.2024;22:21;A182;1;3;13;1;14;1;1;0;0;0;0;0;0;0;0;2;3
21.06.2024;22:20;A182;1;0;41;5;37;1;32;0;0;0;0;5;7;6;9;0;0
21.06.2024;22:19;A182;1;1;1;3;12;4;72;0;1;0;0;0;0;0;0;1;1
21.06.2024;22:18;A182;1;0;0;2;38;4;25;2;9;0;0;0;0;3;3;0;0
21.06.2024;22:17;A182;1;3;17;5;14;0;8;2;37;0;0;3;2;7;6;1;1
21.06.2024;22:16;A182;1;2;12;4;17;2;25;1;22;0;0;0;0;2;1;0;0
21.06.2024;22:15;A182;1;0;0;3;8;1;1;0;0;0;0;0;0;0;0;0;0
21.06.2024;22:14;A182;1;1;1;4;12;6;38;2;2;0;0;2;1;4;5;0;0
21.06.2024;22:13;A182;1;0;0;3;10;1;81;0;0;0;0;0;0;8;7;1;1
21.06.2024;22:12;A182;1;0;0;2;13;1;7;0;0;0;0;0;0;7;14;0;0
21.06.2024;22:11;A182;1;0;0;1;4;0;0;2;45;0;0;1;1;8;8;0;0
21.06.2024;22:10;A182;1;0;0;5;15;1;1;1;6;0;0;0;0;1;1;6;20
21.06.2024;22:09;A182;1;0;0;3;8;1;3;0;66;0;0;1;1;9;7;0;0
21.06.2024;22:08;A182;1;0;0;5;16;0;0;1;35;0;0;0;0;6;5;0;0
21.06.2024;22:07;A182;1;3;9;4;21;1;45;0;0;0;0;2;1;2;1;0;0
21.06.2024;22:06;A182;1;1;1;2;40;2;39;0;0;0;0;2;2;4;6;0;0
21.06.2024;22:05;A182;1;2;9;4;14;4;80;3;68;0;0;1;2;9;9;0;0
21.06.2024;22:04;A182;1;7;19;5;52;1;23;0;0;0;0;2;4;0;0;0;0
21.06.2024;22:03;A182;1;2;2;6;19;3;6;3;38;0;0;2;45;4;3;0;0
21.06.2024;22:02;A182;1;0;0;2;9;2;54;1;20;0;0;0;0;1;19;0;0
21.06.2024;22:01;A182;1;1;2;3;12;1;49;0;0;0;0;3;2;4;3;0;0
21.06.2024;22:00;A182;1;3;10;3;27;2;2;2;11;0;0;4;6;1;2;0;0
