Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;D51Z;D51B;D81Z;D81B;D82Z;D82B;D91Z;D91B;D41Z;D41B;D42_1Z;D42_1B;_FG32Z;_FG32B;_FG33Z;_FG33B;_FG38Z;_FG38B;V83Z;V83B;V84Z;V84B;V92Z;V92B;V43Z;V43B;V44Z;V44B
28.09.2024;00:38;A 11;1;2;11;0;0;0;0;2;1;2;3;0;0;0;100;0;100;0;0;0;0;0;0;1;17;2;7;1;8;0;0;1;3
28.09.2024;00:37;A 11;1;0;0;1;9;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:36;A 11;1;1;10;1;7;0;0;3;2;2;4;0;0;0;100;0;100;0;0;0;0;0;0;4;19;1;21;1;22;0;0;0;0
28.09.2024;00:35;A 11;1;0;18;0;0;0;0;1;1;3;5;0;0;0;100;0;100;0;0;0;0;0;0;1;12;5;29;5;23;0;0;0;0
28.09.2024;00:34;A 11;1;5;55;1;9;0;0;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;4;11;1;4;1;11;0;0;1;5
28.09.2024;00:33;A 11;1;3;21;3;21;0;0;2;2;0;0;0;0;0;100;0;100;0;0;0;0;0;0;3;16;0;0;0;0;0;0;0;0
28.09.2024;00:32;A 11;1;1;10;2;10;0;0;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;2;5;2;8;1;3;0;0;0;0
28.09.2024;00:31;A 11;1;0;0;0;0;1;0;2;0;2;3;0;0;0;100;0;100;0;0;0;0;0;0;2;3;4;38;2;21;0;0;1;2
28.09.2024;00:30;A 11;1;3;5;1;10;0;0;0;0;2;2;0;0;0;100;0;100;0;0;0;0;0;0;1;9;3;9;1;13;0;0;0;0
28.09.2024;00:29;A 11;1;2;10;3;5;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;2;1;1;1;2;0;0;0;0
28.09.2024;00:28;A 11;1;0;0;1;5;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28.09.2024;00:27;A 11;1;1;8;1;9;0;0;1;1;2;2;0;0;0;100;0;100;0;0;0;0;0;0;3;13;3;15;3;13;0;0;0;0
28.09.2024;00:26;A 11;1;4;46;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
28.09.2024;00:25;A 11;1;0;0;1;12;0;0;3;3;3;3;0;0;0;100;0;100;0;0;0;0;0;0;4;26;3;18;1;8;0;0;0;0
28.09.2024;00:24;A 11;1;2;10;0;0;1;1;2;2;1;1;0;0;0;100;0;100;0;0;0;0;0;0;7;18;3;10;2;10;0;0;0;0
28.09.2024;00:23;A 11;1;3;16;1;4;0;0;2;2;4;5;0;0;0;100;0;100;0;0;0;0;0;0;3;23;8;23;2;19;1;3;4;18
