Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D23Z;D23B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D43Z;D43B;D44Z;D44B;HH51_M1_4501Z;HH51_M1_4501B;AH51_M2_4502Z;AH51_M2_4502B;HH55_M3_2137Z;HH55_M3_2137B;AH55_M4_2138Z;AH55_M4_2138B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B;D10Z;D10B;21Z;21B;22Z;22B;23Z;23B;24Z;24B;25Z;25B;26Z;26B;27Z;27B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
08.05.2024;18:59;A 13;1;0;100;0;100;3;87;3;15;2;93;0;100;3;4;6;12;1;81;2;2;5;35;5;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:58;A 13;1;0;100;0;100;2;70;6;79;3;74;5;83;0;20;4;27;3;43;1;2;12;35;0;100;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:57;A 13;1;0;100;0;100;1;85;5;87;8;37;3;93;3;5;3;14;1;82;3;2;8;48;6;88;0;0;0;0;1;2;0;0;0;0;0;0;0;0;3;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:56;A 13;1;0;100;0;100;1;56;4;21;3;3;1;2;1;1;3;3;0;87;2;1;4;24;4;92;0;0;1;2;0;0;0;0;0;0;0;0;0;0;6;6;1;2;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:55;A 13;1;0;100;0;100;0;0;6;29;5;5;3;71;3;20;8;9;1;44;0;0;7;67;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:54;A 13;1;0;100;0;100;1;46;6;17;2;2;5;68;2;7;3;6;0;0;1;1;6;25;5;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:53;A 13;1;0;100;0;100;0;30;2;3;3;5;0;0;5;19;10;27;2;92;1;2;7;34;4;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:52;A 13;1;0;100;0;100;1;93;3;24;3;16;2;76;1;23;2;12;3;75;0;0;9;79;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:51;A 13;1;0;100;0;100;2;85;8;28;6;23;5;88;3;8;3;8;1;72;3;3;12;65;2;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;
08.05.2024;18:50;A 13;1;0;100;0;100;4;75;4;10;4;49;0;100;1;3;9;10;0;0;1;2;5;81;1;64;0;0;0;0;0;0;0;0;1;2;0;0;0;0;5;5;0;0;0;0;;;;;;;;;;;;;;;;;;;;
