Datum;Uhrzeit;Bezeichnung;Intervall;D51Z;D51B;D52Z;D52B;V51Z;V51B;D111Z;D111B;V111Z;V111B;D112Z;D112B;TF35aZ;TF35aB;TB35aZ;TB35aB;TF35bZ;TF35bB;TB35bZ;TB35bB
07.10.2024;23:22;A149;1;0;0;0;0;0;0;1;1;1;11;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:21;A149;1;1;1;0;0;0;11;3;2;3;29;3;2;0;0;0;0;0;0;0;0
07.10.2024;23:20;A149;1;1;1;2;1;2;13;1;1;1;12;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:19;A149;1;1;1;1;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:18;A149;1;2;1;2;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:17;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:16;A149;1;1;0;0;0;0;0;1;0;1;9;1;0;0;0;0;0;0;0;0;0
07.10.2024;23:15;A149;1;2;1;2;1;1;16;2;2;2;19;2;2;0;0;0;0;0;0;0;0
07.10.2024;23:14;A149;1;0;0;0;0;0;0;2;2;2;22;2;2;0;0;0;0;0;0;0;0
07.10.2024;23:13;A149;1;0;0;0;0;0;0;1;1;1;8;1;0;0;0;0;0;0;0;0;0
07.10.2024;23:12;A149;1;0;0;0;0;0;0;2;2;2;21;2;2;0;0;0;0;0;0;0;0
07.10.2024;23:11;A149;1;2;2;2;1;2;19;1;0;1;7;1;0;0;0;0;0;0;0;0;0
07.10.2024;23:10;A149;1;3;5;3;3;2;20;2;4;1;11;1;0;0;0;0;0;0;0;0;0
07.10.2024;23:09;A149;1;1;1;2;1;1;10;0;0;1;8;1;3;0;0;0;0;0;0;0;0
07.10.2024;23:08;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:07;A149;1;1;1;1;0;1;8;3;3;2;24;3;3;0;0;0;0;0;0;0;0
07.10.2024;23:06;A149;1;1;1;1;0;1;9;2;2;1;9;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:05;A149;1;3;3;2;1;3;28;0;0;1;11;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:04;A149;1;1;1;2;1;1;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:03;A149;1;0;0;0;0;0;0;1;1;1;8;1;1;0;0;0;0;0;0;0;0
07.10.2024;23:02;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:01;A149;1;1;1;1;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;23:00;A149;1;2;11;3;4;3;40;3;2;0;0;1;3;0;0;0;0;0;0;0;0
07.10.2024;22:59;A149;1;2;1;1;1;1;10;0;0;1;7;1;1;0;0;0;0;0;0;0;0
07.10.2024;22:58;A149;1;2;3;3;3;1;13;1;3;1;13;1;2;0;0;0;0;0;0;0;0
07.10.2024;22:57;A149;1;1;1;1;1;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:56;A149;1;0;0;0;0;0;0;1;0;1;10;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:55;A149;1;1;1;1;0;1;9;0;0;0;0;1;1;0;0;0;0;0;0;0;0
07.10.2024;22:54;A149;1;0;0;0;0;0;0;1;1;1;8;1;1;0;0;0;0;0;0;0;0
07.10.2024;22:53;A149;1;2;2;2;1;2;19;2;1;1;13;1;1;0;0;0;0;0;0;0;0
07.10.2024;22:52;A149;1;3;4;3;2;2;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:51;A149;1;2;1;1;0;1;6;1;1;2;27;2;3;0;0;0;0;0;0;0;0
07.10.2024;22:50;A149;1;1;1;1;0;2;21;2;2;3;14;2;2;0;0;0;0;0;0;0;0
07.10.2024;22:49;A149;1;0;0;1;1;0;0;2;1;1;14;1;0;0;0;0;0;0;0;0;0
07.10.2024;22:48;A149;1;1;1;1;0;1;7;1;1;2;11;2;2;0;0;0;0;0;0;0;0
07.10.2024;22:47;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:46;A149;1;4;26;2;1;2;22;0;0;0;0;1;1;1;1;0;0;0;0;0;0
07.10.2024;22:45;A149;1;4;5;6;7;4;40;5;5;2;28;3;4;0;0;0;0;0;0;0;0
07.10.2024;22:44;A149;1;1;2;1;0;0;0;4;6;4;32;3;3;0;0;0;0;0;0;0;0
07.10.2024;22:43;A149;1;3;5;3;4;3;27;5;2;2;14;4;5;0;0;0;0;0;0;0;0
07.10.2024;22:42;A149;1;0;0;0;0;0;0;2;1;1;24;2;2;0;0;0;0;0;0;0;0
07.10.2024;22:41;A149;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:40;A149;1;1;1;1;1;1;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:39;A149;1;2;2;2;2;1;22;1;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:38;A149;1;2;1;2;1;0;96;1;0;1;97;1;0;0;0;0;0;0;0;0;0
07.10.2024;22:37;A149;1;2;3;2;0;2;99;2;4;2;98;2;6;0;0;0;0;0;0;0;0
07.10.2024;22:36;A149;1;1;0;1;0;0;100;1;0;0;100;1;1;0;0;0;0;0;0;0;0
07.10.2024;22:35;A149;1;2;1;1;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:34;A149;1;2;1;2;1;0;100;1;0;0;100;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:33;A149;1;2;2;3;2;0;100;0;0;0;100;1;0;0;0;0;0;0;0;0;0
07.10.2024;22:32;A149;1;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:31;A149;1;2;1;2;1;0;100;2;1;0;100;1;1;0;0;0;0;0;0;0;0
07.10.2024;22:30;A149;1;2;2;1;1;0;100;1;0;0;100;1;0;0;0;0;0;0;0;0;0
07.10.2024;22:29;A149;1;3;16;4;3;0;100;0;0;0;100;0;0;1;1;0;0;0;0;0;0
07.10.2024;22:28;A149;1;1;1;1;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:27;A149;1;0;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:26;A149;1;1;0;1;0;0;100;2;1;0;100;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:25;A149;1;1;38;1;3;0;100;4;6;0;100;5;4;0;0;0;0;0;0;0;0
07.10.2024;22:24;A149;1;3;2;3;2;0;100;0;0;0;100;0;0;0;0;0;0;1;1;0;0
07.10.2024;22:23;A149;1;3;2;3;2;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:22;A149;1;2;1;2;1;0;100;3;3;0;100;3;2;0;0;0;0;0;0;0;0
07.10.2024;22:21;A149;1;1;0;0;0;0;100;0;0;0;100;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:20;A149;1;1;0;1;0;0;100;2;1;0;100;2;1;0;0;0;0;0;0;0;0
07.10.2024;22:19;A149;1;1;1;2;1;0;100;3;2;0;100;2;1;0;0;0;0;0;0;0;0
07.10.2024;22:18;A149;1;6;7;7;4;0;100;2;4;0;100;3;5;0;0;0;0;0;0;0;0
07.10.2024;22:17;A149;1;0;0;1;0;0;100;1;1;0;100;1;1;0;0;0;0;0;0;0;0
07.10.2024;22:16;A149;1;3;3;4;3;1;88;0;0;1;65;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:15;A149;1;1;1;1;1;1;12;1;1;1;7;1;1;0;0;0;0;0;0;0;0
07.10.2024;22:14;A149;1;5;6;5;5;3;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:13;A149;1;1;0;1;0;0;0;4;11;1;27;3;3;0;0;0;0;0;0;0;0
07.10.2024;22:12;A149;1;8;11;7;8;1;47;3;4;1;11;2;5;1;1;0;0;0;0;0;0
07.10.2024;22:11;A149;1;1;1;1;1;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:10;A149;1;2;4;3;2;1;11;2;4;2;22;2;5;0;0;0;0;0;0;0;0
07.10.2024;22:09;A149;1;1;1;1;0;1;15;4;4;2;30;4;4;0;0;0;0;0;0;0;0
07.10.2024;22:08;A149;1;0;0;0;0;0;0;1;1;1;12;1;1;0;0;0;0;0;0;0;0
07.10.2024;22:07;A149;1;1;1;1;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:06;A149;1;3;3;2;1;1;24;3;3;2;28;3;3;0;0;0;0;1;1;1;1
07.10.2024;22:05;A149;1;0;0;1;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:04;A149;1;4;5;3;2;3;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:03;A149;1;2;1;3;2;2;23;1;1;1;9;0;0;0;0;0;0;0;0;0;0
07.10.2024;22:02;A149;1;0;0;0;0;0;0;1;0;1;8;3;2;0;0;0;0;0;0;0;0
07.10.2024;22:01;A149;1;2;2;2;1;2;23;4;3;2;25;3;2;0;0;0;0;0;0;0;0
