Datum;Uhrzeit;Bezeichnung;Intervall;ReserveZ;ReserveB;V12Z;V12B;V21Z;V21B;V22Z;V22B;V23Z;V23B;V24Z;V24B;D31Z;D31B;D32Z;D32B;AF_T1_T2Z;AF_T1_T2B;AF_T3_T4Z;AF_T3_T4B;AF_BS_32Z;AF_BS_32B;AF_BS_35Z;AF_BS_35B;AF_BS_38Z;AF_BS_38B;AF_BS_41Z;AF_BS_41B
04.12.2024;23:09;A 28;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:08;A 28;1;0;0;1;31;0;0;3;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:07;A 28;1;0;0;0;0;0;0;2;50;1;19;0;0;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:06;A 28;1;0;0;0;0;0;0;1;8;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:05;A 28;1;0;0;1;22;0;0;1;34;2;26;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
04.12.2024;23:04;A 28;1;0;0;0;0;0;0;0;0;2;2;2;3;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:03;A 28;1;0;0;0;0;0;0;1;20;2;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:02;A 28;1;0;0;0;0;0;0;3;22;0;17;0;13;1;20;1;18;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:01;A 28;1;0;0;0;0;0;0;2;36;2;34;2;10;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;23:00;A 28;1;0;0;0;0;0;0;0;0;3;3;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:59;A 28;1;0;0;2;6;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:58;A 28;1;0;0;0;0;0;0;3;5;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:57;A 28;1;0;0;0;0;0;0;3;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:56;A 28;1;0;0;0;0;0;0;3;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:55;A 28;1;0;0;0;0;0;0;3;57;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:54;A 28;1;0;0;0;0;0;0;4;7;0;0;2;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:53;A 28;1;0;0;1;3;1;2;1;47;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:52;A 28;1;0;0;0;72;0;0;6;69;1;3;1;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1
04.12.2024;22:51;A 28;1;0;0;2;15;0;0;2;43;1;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:50;A 28;1;0;0;1;10;0;0;3;10;1;2;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:49;A 28;1;0;0;3;15;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:48;A 28;1;0;0;1;1;1;8;5;25;5;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:47;A 28;1;0;0;1;20;0;0;1;19;1;28;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:46;A 28;1;0;0;1;3;0;0;1;39;3;36;0;0;2;12;2;16;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:45;A 28;1;0;0;0;1;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:44;A 28;1;0;0;2;13;0;0;3;6;4;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:43;A 28;1;0;0;0;0;0;0;1;32;1;26;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
04.12.2024;22:42;A 28;1;0;0;2;22;0;0;3;17;1;12;0;0;0;6;0;5;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:41;A 28;1;0;0;2;7;0;0;1;2;1;1;0;0;1;7;1;6;0;0;0;0;0;0;2;2;0;0;0;0
04.12.2024;22:40;A 28;1;0;0;3;12;0;0;4;6;3;4;1;2;2;6;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:39;A 28;1;0;0;2;19;0;0;1;37;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:38;A 28;1;0;0;6;40;0;0;2;60;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:37;A 28;1;0;0;4;10;0;0;1;74;3;42;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:36;A 28;1;0;0;2;3;0;0;2;61;4;59;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
04.12.2024;22:35;A 28;1;0;0;1;20;0;0;2;25;2;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;2
04.12.2024;22:34;A 28;1;0;0;0;0;0;0;2;3;3;5;1;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:33;A 28;1;0;0;1;23;0;0;2;46;1;42;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:32;A 28;1;0;0;2;37;0;0;1;45;1;30;1;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:31;A 28;1;0;0;3;34;0;0;5;24;0;0;2;6;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:30;A 28;1;0;0;5;29;0;0;6;18;3;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:29;A 28;1;0;0;0;0;0;0;7;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:28;A 28;1;0;0;0;0;0;0;4;6;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:27;A 28;1;0;0;0;0;0;0;4;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:26;A 28;1;0;0;0;0;0;0;2;39;1;5;0;0;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:25;A 28;1;0;0;1;19;0;0;2;24;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:24;A 28;1;0;0;2;10;0;0;4;45;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:23;A 28;1;0;0;0;0;1;1;1;49;1;6;1;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
04.12.2024;22:22;A 28;1;0;0;4;6;0;0;4;24;2;29;1;8;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
04.12.2024;22:21;A 28;1;0;0;0;0;0;0;1;49;1;48;1;34;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
