Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;V22Z;V22B;D51Z;D51B;V52Z;V52B;D81Z;D81B;V82Z;V82B;D111Z;D111B;V112Z;V112B;TF32Z;TF32B;TF35Z;TF35B;TF38Z;TF38B;TF41Z;TF41B;TB32Z;TB32B;TB35Z;TB35B;TB38Z;TB38B;TB41Z;TB41B
13.12.2024;23:45;A 35;1;2;0;1;6;3;3;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:44;A 35;1;0;0;0;0;2;2;3;10;0;0;0;0;1;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:43;A 35;1;0;0;0;0;2;7;4;44;1;1;1;5;2;2;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:42;A 35;1;0;0;0;0;5;8;6;25;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1
13.12.2024;23:41;A 35;1;0;0;0;0;2;2;1;12;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:40;A 35;1;0;0;0;0;5;7;5;25;1;38;0;5;1;1;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:39;A 35;1;0;0;0;0;4;4;5;18;0;0;1;3;4;7;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:38;A 35;1;0;0;0;0;3;3;3;6;0;0;0;0;6;8;5;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:37;A 35;1;0;0;0;0;1;1;2;6;5;7;1;8;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:36;A 35;1;0;0;0;0;0;0;0;0;0;0;0;0;7;40;1;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:35;A 35;1;1;1;1;8;2;3;3;11;0;0;0;0;7;25;4;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:34;A 35;1;0;0;0;0;3;3;3;12;0;0;0;0;10;19;1;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:33;A 35;1;0;0;0;0;2;4;3;24;0;0;0;0;2;2;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:32;A 35;1;0;0;0;0;4;4;9;22;0;0;0;0;6;6;5;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:31;A 35;1;0;0;0;0;3;11;5;17;0;0;0;0;2;2;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:30;A 35;1;0;0;0;0;5;12;5;25;0;0;0;0;7;19;4;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:29;A 35;1;0;0;0;0;5;24;3;40;0;0;0;0;7;21;2;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:28;A 35;1;0;0;0;0;1;1;2;4;0;0;0;0;2;2;1;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:27;A 35;1;0;0;0;0;1;0;2;4;0;0;0;0;6;9;5;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:26;A 35;1;0;0;0;0;1;0;2;1;0;0;0;0;3;8;2;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:25;A 35;1;3;0;1;9;3;2;4;9;0;0;0;0;6;17;3;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:24;A 35;1;0;0;0;0;3;3;5;8;0;0;0;0;8;61;2;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:23;A 35;1;0;0;0;0;0;0;0;0;1;47;0;1;2;2;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:22;A 35;1;0;0;0;0;1;1;1;15;0;0;1;3;10;19;3;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:21;A 35;1;0;0;0;0;4;5;5;23;0;0;0;0;6;5;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:20;A 35;1;0;0;0;0;1;4;2;9;0;0;0;0;8;7;3;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:19;A 35;1;0;0;0;0;1;1;1;4;0;23;0;0;2;2;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:18;A 35;1;1;23;0;0;1;1;1;4;1;1;1;11;5;7;3;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:17;A 35;1;0;0;0;0;0;0;0;0;0;0;0;0;6;9;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:16;A 35;1;0;0;0;0;4;5;5;27;0;0;0;0;4;3;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:15;A 35;1;0;0;0;0;1;1;2;5;0;0;0;0;5;5;3;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:14;A 35;1;0;0;0;0;3;5;7;16;1;34;1;7;4;4;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:13;A 35;1;0;0;0;0;5;4;3;18;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:12;A 35;1;0;0;0;0;1;1;2;3;0;0;0;0;3;4;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:11;A 35;1;0;0;0;2;1;0;2;2;0;0;0;0;6;6;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:10;A 35;1;5;8;2;11;3;3;5;14;2;30;2;29;6;20;3;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:09;A 35;1;1;1;0;0;2;3;2;13;0;0;0;0;6;5;4;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:08;A 35;1;1;30;1;6;2;6;4;10;0;0;0;0;9;12;5;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:07;A 35;1;0;0;0;0;1;4;2;11;1;1;1;7;6;10;3;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:06;A 35;1;1;0;0;0;4;4;4;13;1;44;1;10;5;8;2;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:05;A 35;1;0;0;0;0;3;3;5;9;1;66;1;10;4;3;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:04;A 35;1;1;70;1;6;8;23;2;50;0;0;0;0;7;7;1;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:03;A 35;1;0;0;0;0;5;10;5;48;0;0;0;0;5;6;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:02;A 35;1;0;0;0;0;5;10;3;27;3;20;3;14;8;27;4;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:01;A 35;1;1;45;1;6;3;3;4;11;1;1;0;0;5;31;1;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;23:00;A 35;1;1;23;0;0;0;0;0;0;3;21;1;29;6;7;6;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:59;A 35;1;1;1;1;6;1;1;3;6;1;0;1;1;8;8;6;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:58;A 35;1;0;0;0;0;1;1;1;1;1;1;1;7;6;16;2;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:57;A 35;1;0;0;0;0;2;2;4;9;0;0;0;0;7;31;1;98;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:56;A 35;1;0;0;0;0;6;23;6;52;0;0;0;0;5;5;5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:55;A 35;1;0;0;0;0;3;3;4;7;1;0;0;0;9;19;1;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:54;A 35;1;0;0;0;0;4;7;5;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:53;A 35;1;1;4;1;6;2;2;4;9;0;0;0;0;10;38;2;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:52;A 35;1;2;0;0;0;3;6;6;16;0;0;0;0;9;14;2;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:51;A 35;1;1;2;1;6;4;3;3;12;1;1;1;6;8;26;1;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:50;A 35;1;0;0;0;0;1;1;2;4;0;0;0;0;2;3;4;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:49;A 35;1;1;13;0;0;2;2;3;9;0;0;0;0;8;13;2;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:48;A 35;1;1;37;0;0;5;7;7;30;0;0;0;0;6;40;3;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:47;A 35;1;0;0;0;0;2;2;2;6;0;0;0;0;5;7;7;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:46;A 35;1;0;0;0;0;5;13;1;48;0;0;0;0;10;24;3;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:45;A 35;1;0;0;0;0;2;1;4;6;2;2;3;10;6;13;3;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:44;A 35;1;0;0;0;0;3;2;6;7;0;0;0;0;6;9;2;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:43;A 35;1;1;5;1;6;3;4;1;51;0;0;0;0;3;3;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:42;A 35;1;3;0;0;0;4;5;6;21;0;0;0;0;3;3;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:41;A 35;1;1;0;0;0;2;3;2;15;1;1;1;2;7;6;3;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:40;A 35;1;0;0;0;0;4;8;1;39;2;19;1;9;3;2;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:39;A 35;1;0;0;0;0;4;3;4;14;0;0;0;0;4;8;1;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:38;A 35;1;0;0;0;0;2;3;3;36;1;1;1;4;6;7;10;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:37;A 35;1;1;18;0;0;1;1;2;4;1;1;1;5;3;2;4;12;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0
13.12.2024;22:36;A 35;1;0;0;0;0;1;0;2;1;1;58;1;10;6;5;4;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:35;A 35;1;0;0;0;0;2;1;1;4;0;0;0;0;2;15;2;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:34;A 35;1;0;0;0;0;2;2;2;11;1;10;3;8;6;12;2;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:33;A 35;1;1;2;0;0;4;9;7;37;0;0;0;0;6;8;2;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:32;A 35;1;1;29;0;0;2;39;2;43;0;0;0;0;8;13;4;45;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
13.12.2024;22:31;A 35;1;1;1;1;6;5;4;4;15;1;45;1;9;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:30;A 35;1;0;0;0;0;4;4;7;15;0;0;0;0;3;3;1;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13.12.2024;22:29;A 35;1;0;0;0;0;1;0;2;1;0;0;0;0;6;9;2;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
