Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;H51_A74/M1S_493Z;H51_A74/M1S_493B;A51_M1S_494Z;A51_M1S_494B;H55_A30/M3S_504Z;H55_A30/M3S_504B;A55_M3S_505Z;A55_M3S_505B;H54_M3SL_1289Z;H54_M3SL_1289B;A54_M4SL_506Z;A54_M4SL_506B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
10.12.2024;14:36;A110;1;0;0;2;1;9;38;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:35;A110;1;0;0;3;9;4;49;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:34;A110;1;1;1;4;9;4;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:33;A110;1;1;1;4;48;4;14;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:32;A110;1;3;3;5;10;4;5;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:31;A110;1;1;1;7;57;4;40;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:30;A110;1;0;0;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:29;A110;1;1;1;5;6;8;17;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:28;A110;1;3;7;3;4;7;16;0;0;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:27;A110;1;0;0;3;4;5;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:26;A110;1;0;0;8;55;5;75;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:25;A110;1;1;2;5;15;6;40;0;0;1;2;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:24;A110;1;1;1;4;6;4;5;1;2;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:23;A110;1;3;4;3;4;5;12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:22;A110;1;2;1;5;25;3;31;0;0;0;0;0;0;0;0;0;0;1;2;;;;;0;0;0;0;0;0
10.12.2024;14:21;A110;1;0;0;2;3;6;29;0;0;1;2;1;2;1;2;1;2;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:20;A110;1;3;5;2;4;5;72;1;2;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:19;A110;1;2;8;1;1;10;20;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:18;A110;1;4;4;1;1;4;7;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:17;A110;1;1;0;4;7;5;19;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:16;A110;1;0;0;6;14;5;5;0;0;0;0;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:15;A110;1;1;2;3;9;9;13;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:14;A110;1;1;2;2;2;11;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:13;A110;1;0;0;7;28;6;7;0;0;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:12;A110;1;0;0;2;3;11;21;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:11;A110;1;5;10;5;8;3;3;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:10;A110;1;0;0;3;5;6;11;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:09;A110;1;2;2;4;4;3;6;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:08;A110;1;4;6;0;0;7;42;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:07;A110;1;4;11;6;20;5;27;0;0;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:06;A110;1;0;0;1;1;8;15;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:05;A110;1;0;0;3;6;3;9;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:04;A110;1;4;2;6;6;5;25;0;0;0;0;0;0;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:03;A110;1;1;0;0;0;3;12;0;0;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:02;A110;1;0;0;4;4;5;12;0;0;0;0;1;2;1;2;1;2;1;2;;;;;0;0;0;0;0;0
10.12.2024;14:01;A110;1;2;2;4;7;6;9;0;0;0;0;1;2;1;2;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;14:00;A110;1;2;2;8;14;4;30;0;0;1;2;1;2;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:59;A110;1;0;0;0;0;7;31;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:58;A110;1;0;0;1;2;6;14;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:57;A110;1;2;2;3;11;4;39;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:56;A110;1;0;0;1;1;9;18;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:55;A110;1;1;0;3;3;7;37;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:54;A110;1;2;1;4;4;3;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:53;A110;1;0;0;1;2;6;7;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:52;A110;1;3;4;5;23;7;11;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:51;A110;1;0;0;5;6;8;12;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:50;A110;1;1;1;3;14;5;8;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:49;A110;1;1;1;4;36;6;27;0;0;1;2;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
10.12.2024;13:48;A110;1;0;0;2;9;6;58;1;2;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0
