Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;D23Z;D23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;D83Z;D83B;V84Z;V84B;TF38Z;TF38B;TB38Z;TB38B;TF38aZ;TF38aB;TB38aZ;TB38aB;VK1_iOZ;VK1_iOB;VK2_iOZ;VK2_iOB
24.09.2024;00:25;A 61;1;0;0;1;0;1;1;1;10;22;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:24;A 61;1;1;0;1;0;1;1;1;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:23;A 61;1;0;0;0;0;0;0;0;0;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:22;A 61;1;0;0;0;0;0;0;0;0;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:21;A 61;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:20;A 61;1;0;0;0;0;0;0;0;0;24;4;1;1;1;1;1;6;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:19;A 61;1;0;0;0;0;0;0;0;0;9;1;1;1;1;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:18;A 61;1;0;0;0;0;0;0;0;0;18;1;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:17;A 61;1;1;3;1;3;1;4;2;11;16;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:16;A 61;1;0;0;0;0;0;0;0;0;85;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:15;A 61;1;0;0;1;0;1;0;1;6;86;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:14;A 61;1;0;0;0;0;0;0;0;0;97;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:13;A 61;1;1;1;1;1;1;1;1;13;103;11;2;1;1;1;1;9;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:12;A 61;1;2;1;2;1;2;1;1;11;115;12;1;0;1;0;2;9;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:11;A 61;1;0;0;0;0;0;0;0;0;101;11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:10;A 61;1;0;0;0;0;0;0;0;0;90;10;1;1;1;1;1;7;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:09;A 61;1;0;0;0;0;0;0;0;0;102;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:08;A 61;1;0;0;0;0;0;0;0;0;112;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:07;A 61;1;0;0;0;0;0;0;0;0;123;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:06;A 61;1;0;0;0;0;0;0;0;0;85;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:05;A 61;1;1;0;1;0;1;1;1;8;61;5;1;0;2;1;1;6;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:04;A 61;1;3;3;2;2;2;2;2;18;58;5;1;1;0;0;1;8;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:03;A 61;1;1;0;2;1;2;1;2;18;101;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:02;A 61;1;0;0;1;1;1;1;1;12;159;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:01;A 61;1;0;0;0;0;0;0;0;0;161;15;2;2;2;2;1;12;0;0;0;0;0;0;0;0;0;100;0;100
24.09.2024;00:00;A 61;1;0;0;1;0;1;0;1;5;171;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:59;A 61;1;0;0;0;0;0;0;0;0;173;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:58;A 61;1;0;0;0;0;0;0;0;0;173;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:57;A 61;1;1;0;1;0;1;1;1;7;194;16;1;1;1;1;1;6;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:56;A 61;1;0;0;0;0;0;0;0;0;179;15;1;0;1;0;1;3;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:55;A 61;1;1;0;1;1;1;1;1;9;200;16;1;0;1;0;1;7;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:54;A 61;1;0;0;0;0;0;0;0;0;190;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:53;A 61;1;0;0;0;0;0;0;0;0;183;16;1;0;1;0;1;6;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:52;A 61;1;0;0;1;0;1;0;1;8;181;16;1;0;1;0;1;7;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:51;A 61;1;0;0;0;0;0;0;0;0;171;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:50;A 61;1;0;0;0;0;0;0;0;0;133;14;1;1;1;0;1;6;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:49;A 61;1;0;0;0;0;0;0;0;0;114;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:48;A 61;1;0;0;0;0;0;0;0;0;119;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:47;A 61;1;1;0;2;1;1;0;2;15;117;14;3;2;0;0;1;6;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:46;A 61;1;0;0;0;0;1;1;0;0;110;15;1;1;3;3;1;13;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:45;A 61;1;0;0;0;0;0;0;0;0;94;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:44;A 61;1;0;0;0;0;0;0;0;0;70;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:43;A 61;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:42;A 61;1;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:41;A 61;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;6;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:40;A 61;1;1;0;1;0;1;1;1;6;0;0;1;0;1;0;1;6;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:39;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:38;A 61;1;0;0;0;0;1;0;0;0;1;0;2;2;1;1;2;17;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:37;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:36;A 61;1;0;0;1;1;1;1;1;10;0;0;1;0;1;0;2;3;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:35;A 61;1;0;0;1;0;1;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:34;A 61;1;1;0;1;1;1;1;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
23.09.2024;23:33;A 61;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100
