Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V51Z;V51B;V52Z;V52B;V61Z;V61B;V62Z;V62B;V81Z;V81B;V82Z;V82B;D53Z;D53B;D54Z;D54B;D55Z;D55B;D63Z;D63B;D64Z;D64B;TA32Z;TA32B;TB32Z;TB32B;TA35Z;TA35B;TB35Z;TB35B;TA36Z;TA36B;TB36Z;TB36B;TA38Z;TA38B;TB38Z;TB38B;TA41Z;TA41B;TB41Z;TB41B
06.03.2024;23:29;A 23;1;0;0;2;3;1;6;2;18;3;19;0;0;3;45;5;20;1;3;0;0;1;11;3;5;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:28;A 23;1;0;0;0;0;1;4;2;5;2;18;0;0;3;20;0;0;1;2;0;0;1;1;2;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:27;A 23;1;0;0;3;5;0;0;1;2;7;36;0;0;0;0;0;0;2;1;0;0;0;0;3;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:26;A 23;1;0;0;3;11;1;2;0;11;7;26;0;0;0;0;1;9;1;1;1;6;1;1;6;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:25;A 23;1;0;0;2;3;0;0;1;8;0;2;0;0;0;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;13;0;0;0;0
06.03.2024;23:24;A 23;1;5;11;6;8;3;20;3;18;2;6;0;0;0;0;0;0;2;6;1;1;3;12;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:23;A 23;1;3;7;0;16;1;12;2;15;3;23;0;0;1;8;0;0;2;5;1;8;2;6;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:22;A 23;1;1;5;1;9;1;6;4;30;7;26;0;0;0;0;0;4;1;3;1;1;1;23;3;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:21;A 23;1;0;0;0;0;1;17;4;18;3;16;0;0;2;6;3;32;2;6;0;0;2;13;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
06.03.2024;23:20;A 23;1;4;17;1;2;1;10;0;0;0;0;0;0;0;0;1;20;1;4;0;0;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
