Datum;Uhrzeit;Bezeichnung;Intervall;V111Z;V111B;V121Z;V121B;D21Z;D21B;D22Z;D22B;D23Z;D23B;V211Z;V211B;V221Z;V221B;V231Z;V231B;D33Z;D33B;V301Z;V301B;V311Z;V311B;V321Z;V321B;D41Z;D41B;D42Z;D42B;V411Z;V411B;V421Z;V421B;TA32Z;TA32B;TB32Z;TB32B;TA33Z;TA33B;TB33Z;TB33B;TA35Z;TA35B;TB35Z;TB35B;TA38Z;TA38B;TB38Z;TB38B;TA39Z;TA39B;TB39Z;TB39B;TA41Z;TA41B;TB41Z;TB41B;EG21Z;EG21B;EG22Z;EG22B;D11Z;D11B;D12Z;D12B;D30Z;D30B;D31Z;D31B;D32Z;D32B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;V4_StoerZ;V4_StoerB;A4_MP6Z;A4_MP6B;A22_MP1Z;A22_MP1B;A13_MP4Z;A13_MP4B;A45_MP2Z;A45_MP2B;A22_MP2Z;A22_MP2B
17.07.2024;11:28;A 22;1;0;0;6;18;0;0;7;5;0;0;4;8;1;0;6;52;0;0;4;26;2;71;2;2;0;0;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:25;A 22;1;4;3;7;28;1;0;8;8;0;0;3;47;0;0;3;68;0;1;2;66;2;58;2;2;0;0;3;8;0;0;0;0;3;3;1;1;0;0;1;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:24;A 22;1;0;0;5;19;0;0;6;5;0;0;3;52;1;0;2;31;1;0;1;64;1;38;4;4;0;0;1;22;0;0;0;0;2;14;1;2;1;33;0;0;1;4;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:22;A 22;1;2;25;4;14;0;0;4;3;0;0;1;6;2;2;0;0;1;9;1;12;0;0;0;0;0;0;1;9;0;0;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:19;A 22;1;1;28;4;49;1;0;6;6;0;0;4;39;2;2;1;30;2;9;2;55;1;10;0;0;0;0;1;35;0;0;0;0;5;25;0;0;0;1;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:13;A 22;1;0;100;3;19;0;0;5;5;0;0;1;29;2;4;2;81;2;11;0;100;2;88;0;0;0;0;1;43;0;0;0;0;2;2;0;0;1;75;0;0;1;79;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:11;A 22;1;0;0;1;83;0;0;5;12;0;0;2;17;0;0;1;10;0;0;2;28;1;14;2;0;1;4;1;46;0;0;1;0;3;2;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;2;3;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:10;A 22;1;0;0;7;66;0;0;9;10;0;0;1;70;1;1;0;0;1;4;0;72;0;0;1;3;1;5;5;18;0;0;1;1;7;6;2;43;1;66;1;4;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:05;A 22;1;1;78;4;68;0;0;8;9;0;0;2;30;37;14;1;83;0;0;1;36;1;88;3;5;1;1;4;52;0;0;1;0;9;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:04;A 22;1;0;100;5;86;0;0;7;8;0;0;1;66;0;0;0;0;0;0;1;71;0;0;0;0;1;4;5;65;0;0;1;0;9;10;0;0;0;0;0;0;0;0;1;1;2;3;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:03;A 22;1;1;58;5;85;0;0;11;14;0;0;0;67;1;68;3;73;1;3;0;68;0;84;3;4;1;3;5;58;0;0;1;0;7;8;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
17.07.2024;11:01;A 22;1;0;0;6;26;1;0;6;7;0;0;1;49;3;4;3;84;1;6;1;83;0;100;0;0;1;5;1;6;0;0;3;1;3;5;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;;;;;;;
