Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D41Z;D41B;D42Z;D42B;res1Z;res1B;res2Z;res2B;res3Z;res3B;FG-AF_41aZ;FG-AF_41aB;FG-AF_BF41aZ;FG-AF_BF41aB;FG-AF_41bZ;FG-AF_41bB;FG-AF_BF41bZ;FG-AF_BF41bB;A88_MP2Z;A88_MP2B;A117/MP1Z;A117/MP1B;A117_MP2Z;A117_MP2B;A118_MP3Z;A118_MP3B;A117_MP3Z;A117_MP3B;A117_MP4Z;A117_MP4B
15.08.2024;09:10;A117;1;0;0;0;0;11;15;12;14;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:09;A117;1;0;0;0;0;9;59;5;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:08;A117;1;0;0;0;0;11;30;13;30;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;09:07;A117;1;2;92;0;0;6;8;16;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:06;A117;1;0;47;0;0;9;40;12;45;3;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:05;A117;1;1;51;0;0;19;23;14;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:04;A117;1;1;1;0;0;17;28;5;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:03;A117;1;0;0;0;0;9;58;13;15;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:02;A117;1;0;0;0;0;8;18;9;10;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;09:01;A117;1;0;0;0;0;18;35;7;7;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;09:00;A117;1;0;0;0;0;8;47;11;18;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:59;A117;1;0;0;0;0;11;41;11;14;0;43;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;08:58;A117;1;0;0;0;0;7;10;7;7;2;14;0;0;0;0;0;0;0;0;0;0;0;0;2;4;5;16;;;;;;;;;;
15.08.2024;08:57;A117;1;0;0;0;0;21;28;10;15;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:56;A117;1;0;4;0;0;14;66;13;53;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:55;A117;1;1;0;0;0;14;29;15;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:54;A117;1;0;0;0;0;16;21;16;22;5;3;0;0;0;0;0;0;0;0;0;0;0;0;2;4;1;2;;;;;;;;;;
15.08.2024;08:53;A117;1;0;0;0;0;12;62;15;62;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:52;A117;1;0;0;0;0;10;19;16;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:51;A117;1;0;0;0;0;22;28;12;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;;;;;;;;;;
15.08.2024;08:50;A117;1;0;0;0;0;13;63;12;61;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:49;A117;1;0;0;0;0;1;93;8;24;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;9;3;7;;;;;;;;;;
15.08.2024;08:48;A117;1;0;0;0;0;22;30;6;9;2;1;0;0;0;0;1;2;0;0;0;0;1;2;1;2;0;0;;;;;;;;;;
15.08.2024;08:47;A117;1;0;0;0;0;15;46;13;31;3;2;1;2;1;2;0;0;1;2;1;2;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:46;A117;1;1;78;0;0;7;13;16;20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:45;A117;1;0;0;0;0;17;19;8;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:44;A117;1;0;0;0;0;12;14;11;14;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:43;A117;1;0;0;0;0;13;14;9;11;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:42;A117;1;0;0;0;0;16;21;9;14;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:41;A117;1;0;0;0;0;11;17;12;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:40;A117;1;0;0;0;0;9;11;9;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;;;;;;;;;;
15.08.2024;08:39;A117;1;0;0;0;0;6;8;9;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:38;A117;1;0;0;0;0;15;20;8;9;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:37;A117;1;0;0;0;0;6;6;14;25;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
15.08.2024;08:36;A117;1;0;0;0;0;8;8;4;16;2;1;0;0;0;0;0;0;1;2;1;2;1;2;0;0;1;4;;;;;;;;;;
15.08.2024;08:35;A117;1;0;6;0;0;11;58;13;17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
