Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D41Z;D41B;D42Z;D42B;D55Z;D55B;H51_M1_637Z;H51_M1_637B;A51_M2_638Z;A51_M2_638B;H55_M3_640Z;H55_M3_640B;A55_M4_641Z;A55_M4_641B;V51_M5_636Z;V51_M5_636B;T1Z;T1B;T2Z;T2B;T5Z;T5B;T6Z;T6B;Schluessel_S51Z;Schluessel_S51B;Schluessel_S55Z;Schluessel_S55B
10.04.2024;16:37;A 83;1;16;17;3;1;1;86;0;0;17;22;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:36;A 83;1;7;31;0;0;0;0;0;0;11;67;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:35;A 83;1;5;29;1;1;0;0;0;0;16;56;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:34;A 83;1;12;15;0;0;0;0;0;0;5;13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:33;A 83;1;8;20;1;3;1;46;0;0;11;52;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:32;A 83;1;4;5;1;15;0;0;0;0;12;52;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:31;A 83;1;4;4;0;0;0;0;0;0;17;21;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:30;A 83;1;3;3;0;6;0;0;1;50;7;59;1;46;0;0;0;0;0;0;0;0;0;0;0;2;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:29;A 83;1;12;44;1;33;0;0;1;46;17;47;2;3;0;0;0;0;0;0;0;0;0;0;1;1;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:28;A 83;1;7;11;1;1;1;5;1;65;15;45;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:27;A 83;1;8;38;0;0;1;2;0;34;10;49;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:26;A 83;1;6;7;0;0;0;0;1;10;3;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:25;A 83;1;14;17;3;2;0;0;0;0;10;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:24;A 83;1;5;19;0;0;1;39;1;36;8;36;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:23;A 83;1;12;24;2;61;1;36;3;56;13;59;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:22;A 83;1;5;6;3;6;0;0;0;100;21;29;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:21;A 83;1;7;19;0;24;0;0;1;70;13;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:20;A 83;1;7;40;1;20;0;0;0;0;6;81;0;36;0;0;0;0;0;0;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:19;A 83;1;8;10;1;2;0;0;1;12;12;21;1;8;0;0;0;0;0;0;1;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:18;A 83;1;3;3;1;0;0;0;0;0;12;60;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:17;A 83;1;7;34;0;0;0;0;0;2;6;45;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:16;A 83;1;13;16;1;0;0;0;1;49;16;36;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:15;A 83;1;10;34;1;43;0;0;1;41;11;62;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:14;A 83;1;7;8;2;36;0;0;1;70;5;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:13;A 83;1;7;9;1;2;0;0;1;76;14;37;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:12;A 83;1;5;31;2;19;0;0;0;0;3;53;1;10;0;0;0;0;0;0;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:11;A 83;1;8;41;3;1;0;0;0;0;17;42;2;24;0;0;0;0;0;0;1;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:10;A 83;1;6;30;0;0;2;43;4;51;5;33;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:09;A 83;1;7;7;0;0;0;0;0;54;7;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:08;A 83;1;5;6;1;1;0;0;1;79;11;43;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:07;A 83;1;7;5;2;1;0;0;2;90;11;36;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:06;A 83;1;4;4;1;1;0;0;2;49;5;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:05;A 83;1;8;8;3;2;0;0;1;2;21;42;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:04;A 83;1;4;4;0;31;0;0;0;0;10;49;2;31;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:03;A 83;1;9;24;1;12;0;28;1;2;10;48;1;2;0;0;0;0;0;0;0;0;0;0;1;2;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:02;A 83;1;6;8;1;2;1;45;0;0;18;43;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:01;A 83;1;7;9;1;0;1;51;2;32;15;57;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;16:00;A 83;1;6;15;1;1;2;2;1;1;8;69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:59;A 83;1;6;8;0;0;0;0;0;0;4;66;0;0;0;0;0;0;0;0;1;2;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:58;A 83;1;7;9;0;0;0;0;0;0;16;33;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:57;A 83;1;9;31;1;46;1;52;0;54;12;63;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:56;A 83;1;7;8;0;0;1;35;1;51;19;63;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:55;A 83;1;7;8;0;0;0;0;0;0;9;26;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:54;A 83;1;4;4;0;0;1;2;0;0;13;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:53;A 83;1;5;33;0;0;0;0;0;0;2;23;1;18;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:52;A 83;1;9;10;1;1;0;0;0;0;20;26;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:51;A 83;1;12;48;0;0;1;56;2;12;14;74;3;40;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:50;A 83;1;4;56;1;7;1;20;0;3;3;81;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:49;A 83;1;6;7;1;0;0;94;2;98;17;43;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:48;A 83;1;7;24;1;1;1;62;2;49;9;52;0;0;0;0;0;0;0;0;0;0;0;0;2;5;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:47;A 83;1;9;9;1;1;1;34;1;2;10;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:46;A 83;1;9;9;1;0;0;0;0;0;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:45;A 83;1;5;28;2;5;1;18;0;0;8;56;1;0;0;0;0;0;0;0;0;0;0;0;1;2;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:44;A 83;1;9;29;1;7;0;0;0;0;10;32;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
10.04.2024;15:43;A 83;1;8;10;2;3;0;0;0;88;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
