Datum;Uhrzeit;Bezeichnung;Intervall;D51Z;D51B;D52Z;D52B;D53Z;D53B;D54Z;D54B;D71Z;D71B;D72Z;D72B;D91Z;D91B;D92Z;D92B;D93Z;D93B;D94Z;D94B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B;MP7Z;MP7B;TBS35Z;TBS35B;TF37Z;TF37B;TBS37Z;TBS37B;TF38Z;TF38B;TBS38Z;TBS38B;TBS39Z;TBS39B;TS57Z;TS57B
09.03.2024;09:08;A 32;1;2;7;3;29;3;3;2;6;1;1;0;0;4;18;4;16;3;3;3;2;1;2;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:07;A 32;1;2;37;4;85;2;2;4;7;0;0;2;4;2;2;3;3;3;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:06;A 32;1;0;66;1;3;1;0;2;3;0;0;0;0;7;24;8;25;7;7;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:05;A 32;1;2;63;1;3;1;2;0;0;3;10;2;4;3;4;3;6;3;3;1;1;0;0;0;0;0;0;0;0;0;0;1;2;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:04;A 32;1;3;61;2;38;3;5;2;3;6;16;6;6;7;56;5;50;8;9;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:03;A 32;1;0;15;4;26;1;1;2;3;1;1;1;1;6;16;3;15;6;9;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:02;A 32;1;4;54;2;55;1;1;5;11;1;1;1;1;1;63;3;64;0;0;3;3;0;0;1;2;1;2;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
09.03.2024;09:01;A 32;1;1;16;1;1;2;3;1;1;1;1;1;1;4;12;5;13;5;5;4;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;09:00;A 32;1;3;40;1;21;2;3;1;1;1;1;2;1;5;7;4;7;5;5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:59;A 32;1;3;42;1;1;1;1;1;1;0;0;0;0;4;6;1;21;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:58;A 32;1;1;44;1;1;1;2;2;2;0;0;0;0;4;27;6;31;5;6;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:57;A 32;1;2;42;0;40;2;3;0;0;0;0;0;0;6;29;5;20;8;9;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:56;A 32;1;0;0;3;25;1;1;2;2;1;1;1;1;5;9;4;5;5;7;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:55;A 32;1;0;4;1;77;1;1;2;2;3;7;2;5;2;4;2;31;2;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:54;A 32;1;2;61;0;0;2;3;0;0;2;2;3;3;6;10;3;5;4;4;3;3;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:53;A 32;1;4;5;1;77;2;2;2;5;3;5;2;2;3;5;3;5;2;2;1;1;1;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:52;A 32;1;3;71;3;79;2;6;3;4;2;1;3;3;3;41;4;37;4;4;4;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:51;A 32;1;3;69;2;23;4;6;2;2;4;7;4;6;3;40;5;27;5;4;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0
09.03.2024;08:50;A 32;1;1;34;0;0;1;1;0;0;4;5;5;5;2;2;3;5;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;5;0;0;0;0;1;1;0;0
09.03.2024;08:49;A 32;1;2;21;0;16;1;3;0;0;0;0;0;0;5;27;3;25;3;3;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:48;A 32;1;4;48;2;13;4;5;1;1;8;14;7;11;5;6;2;35;4;4;2;3;0;0;0;0;1;2;0;0;0;0;1;2;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:47;A 32;1;0;0;0;0;2;2;1;5;2;9;1;2;2;19;3;29;2;2;1;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:46;A 32;1;1;33;3;36;1;2;3;4;3;13;3;2;3;5;4;5;5;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0
09.03.2024;08:45;A 32;1;2;63;1;4;1;2;1;1;0;0;1;1;2;2;1;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:44;A 32;1;2;42;1;2;3;6;1;2;1;1;1;1;5;31;4;32;5;6;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:43;A 32;1;1;48;2;48;1;2;1;2;2;1;2;1;4;50;6;19;5;4;6;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:42;A 32;1;2;39;1;42;1;1;2;3;3;3;3;3;2;19;2;32;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:41;A 32;1;3;22;4;28;1;1;1;1;1;5;1;4;4;7;4;7;4;5;4;4;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:40;A 32;1;1;81;1;79;3;6;4;7;1;1;1;1;3;5;8;13;2;3;6;8;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:39;A 32;1;4;40;2;9;3;3;2;8;3;13;3;4;4;6;2;3;5;6;4;5;1;2;1;2;1;2;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:38;A 32;1;2;61;3;36;3;3;3;4;1;1;1;1;4;6;1;1;4;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:37;A 32;1;3;53;3;43;3;3;3;5;2;2;2;2;2;4;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:36;A 32;1;3;61;0;0;3;3;0;0;3;5;3;4;1;1;2;3;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:35;A 32;1;0;0;0;0;0;0;0;0;2;3;2;2;1;1;3;4;1;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:34;A 32;1;0;8;0;10;0;0;0;0;1;2;1;1;1;1;2;25;1;1;2;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:33;A 32;1;1;4;1;3;2;3;1;6;2;3;2;3;7;13;1;14;6;10;1;1;1;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:32;A 32;1;1;7;1;81;1;1;0;0;4;9;2;1;3;5;5;30;4;15;4;4;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:31;A 32;1;2;48;2;65;2;3;3;4;0;0;1;4;3;4;3;33;3;3;4;4;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;1;1;1;1;1;1;4;0;0;0;0
09.03.2024;08:30;A 32;1;0;0;0;0;0;0;0;0;0;0;0;0;8;14;6;7;8;10;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:29;A 32;1;1;33;1;40;1;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:28;A 32;1;1;60;1;67;1;2;2;3;0;0;0;0;2;27;1;26;3;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.03.2024;08:27;A 32;1;3;35;2;18;2;2;2;3;0;0;0;0;2;18;3;3;3;3;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
