Datum;Uhrzeit;Bezeichnung;Intervall;T1_sZ;T1_sB;T1_bZ;T1_bB;T2_sZ;T2_sB;T2_bZ;T2_bB;IR51Z;IR51B;IR111Z;IR111B
03.03.2025;20:41;A169;1;3;8;4;17;0;0;0;0;0;0;0;0
03.03.2025;20:40;A169;1;4;30;3;14;0;0;0;0;0;0;0;0
03.03.2025;20:39;A169;1;3;10;3;16;0;0;0;0;0;0;0;0
03.03.2025;20:38;A169;1;3;9;3;12;0;0;0;0;0;0;0;0
03.03.2025;20:37;A169;1;5;16;7;28;0;0;0;0;0;0;0;0
03.03.2025;20:36;A169;1;5;26;6;37;0;0;0;0;0;0;0;0
03.03.2025;20:35;A169;1;3;11;5;26;0;0;0;0;0;0;0;0
03.03.2025;20:34;A169;1;2;8;2;10;0;0;0;0;0;0;0;0
03.03.2025;20:33;A169;1;6;24;2;9;0;0;0;0;0;0;0;0
03.03.2025;20:32;A169;1;8;25;2;15;0;0;0;0;0;0;0;0
03.03.2025;20:31;A169;1;3;13;6;23;0;0;0;0;0;0;0;0
03.03.2025;20:30;A169;1;4;19;4;13;0;0;0;0;0;0;0;0
03.03.2025;20:29;A169;1;7;21;4;22;0;0;0;0;0;0;0;0
03.03.2025;20:28;A169;1;5;17;3;16;0;0;0;0;0;0;0;0
03.03.2025;20:27;A169;1;3;7;6;27;0;0;0;0;0;0;0;0
03.03.2025;20:26;A169;1;5;21;3;16;1;1;0;0;0;0;0;0
03.03.2025;20:25;A169;1;3;17;4;18;0;0;0;0;0;0;0;0
03.03.2025;20:24;A169;1;4;32;3;18;0;0;0;0;0;0;0;0
03.03.2025;20:23;A169;1;2;18;4;16;0;0;0;0;0;0;0;0
03.03.2025;20:22;A169;1;3;9;3;16;0;0;0;0;0;0;0;0
03.03.2025;20:21;A169;1;4;14;5;25;1;1;0;0;0;0;0;0
03.03.2025;20:20;A169;1;2;6;4;16;0;0;0;0;0;0;0;0
03.03.2025;20:19;A169;1;2;13;1;3;0;0;0;0;0;0;0;0
03.03.2025;20:18;A169;1;7;22;4;31;0;0;0;0;0;0;0;0
03.03.2025;20:17;A169;1;8;37;8;62;0;0;0;0;0;0;0;0
03.03.2025;20:16;A169;1;5;17;7;40;0;0;0;0;0;0;0;0
03.03.2025;20:15;A169;1;8;27;6;26;0;0;0;0;0;0;0;0
03.03.2025;20:14;A169;1;5;22;6;36;0;0;0;0;0;0;0;0
03.03.2025;20:13;A169;1;2;22;4;20;1;3;0;0;0;0;0;0
03.03.2025;20:12;A169;1;6;20;2;25;0;0;0;0;0;0;0;0
03.03.2025;20:11;A169;1;8;36;7;30;0;0;0;0;0;0;0;0
03.03.2025;20:10;A169;1;7;42;3;23;0;0;0;0;0;0;0;0
03.03.2025;20:09;A169;1;5;19;6;35;0;0;0;0;0;0;0;0
03.03.2025;20:08;A169;1;6;24;2;30;0;0;0;0;0;0;0;0
03.03.2025;20:07;A169;1;6;37;7;34;0;0;0;0;0;0;0;0
03.03.2025;20:06;A169;1;6;18;7;31;0;0;0;0;0;0;0;0
03.03.2025;20:05;A169;1;7;25;7;34;0;0;0;0;0;0;0;0
03.03.2025;20:04;A169;1;3;8;2;15;0;0;0;0;0;0;0;0
