Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V12Z;V12B;V13Z;V13B;D21Z;D21B;V31Z;V31B;V32Z;V32B;V33Z;V33B;V41Z;V41B;V42Z;V42B;V43Z;V43B;T1-T2_Anf_32Z;T1-T2_Anf_32B;T3-T4_Anf_38Z;T3-T4_Anf_38B;V14Z;V14B;V40Z;V40B;T5-T6_Anf_31Z;T5-T6_Anf_31B
18.03.2025;23:11;A181;1;0;0;2;3;1;2;0;100;0;0;1;3;1;2;2;26;0;0;0;0;0;0;0;0;2;6;0;0;0;0
18.03.2025;23:09;A181;1;0;0;1;2;0;0;0;100;0;0;0;0;0;0;1;28;1;6;0;0;0;0;0;0;1;2;0;0;0;0
18.03.2025;23:08;A181;1;0;0;1;1;0;0;0;100;0;0;0;0;1;2;1;21;0;0;1;2;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:07;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;2;5;2;2;1;4;1;2;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:05;A181;1;0;0;1;2;0;0;0;100;0;0;0;0;0;0;1;1;1;20;1;3;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:03;A181;1;0;0;3;17;2;8;0;100;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1;2;0;0;1;3
18.03.2025;23:02;A181;1;0;0;1;2;1;3;0;100;0;0;0;0;3;9;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:01;A181;1;0;0;2;3;1;1;0;100;0;0;1;3;1;3;3;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;23:00;A181;1;0;0;1;1;0;0;0;100;0;0;0;0;4;7;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
18.03.2025;22:59;A181;1;0;0;0;0;0;0;0;100;0;0;2;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:57;A181;1;0;0;2;2;1;2;0;100;0;0;0;0;0;0;2;2;2;15;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:56;A181;1;0;0;0;0;1;9;0;100;0;0;0;0;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:55;A181;1;0;0;2;7;0;0;0;100;0;0;2;6;2;3;0;0;1;1;0;0;0;0;0;0;0;0;2;2;0;0
18.03.2025;22:54;A181;1;0;0;0;0;1;11;0;100;0;0;0;0;0;0;1;1;1;1;1;5;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:53;A181;1;0;0;0;0;0;0;0;100;0;0;1;1;3;7;0;0;0;0;0;0;0;0;0;0;2;4;1;1;0;0
18.03.2025;22:51;A181;1;0;0;2;2;2;4;0;100;0;0;0;0;0;1;1;1;1;25;0;0;0;0;1;1;0;0;0;0;0;0
18.03.2025;22:50;A181;1;0;0;2;2;1;8;0;100;0;0;2;7;5;10;1;2;1;6;0;0;0;0;0;0;0;0;1;2;0;0
18.03.2025;22:49;A181;1;1;1;0;0;1;4;0;100;0;0;0;0;1;2;0;0;1;1;2;4;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:48;A181;1;1;1;2;3;1;2;0;100;0;0;0;0;0;0;1;24;0;0;0;0;0;0;0;0;1;2;2;2;0;0
18.03.2025;22:47;A181;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;3;54;1;1;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:46;A181;1;0;0;1;3;0;0;0;100;1;4;0;0;0;0;1;29;2;40;0;0;1;3;0;0;0;0;0;0;0;0
18.03.2025;22:45;A181;1;0;0;3;5;2;3;0;100;0;0;0;0;1;2;1;10;1;2;1;45;0;0;0;0;1;1;0;0;0;0
18.03.2025;22:44;A181;1;0;0;0;0;0;0;0;100;0;0;1;2;3;4;1;38;2;42;2;1;0;0;0;0;0;0;2;2;0;0
18.03.2025;22:42;A181;1;0;0;1;1;0;0;0;100;0;0;0;0;2;2;1;38;1;35;1;26;0;0;0;0;1;1;0;0;0;0
18.03.2025;22:41;A181;1;0;0;2;2;0;0;0;100;0;0;1;2;3;5;1;17;1;2;0;0;1;3;0;0;1;1;0;0;0;0
18.03.2025;22:40;A181;1;0;0;2;1;1;3;0;100;0;0;0;0;3;7;0;0;0;0;3;19;0;0;0;0;2;5;0;0;0;0
18.03.2025;22:39;A181;1;0;0;2;2;1;1;0;100;0;0;2;5;2;4;2;42;1;1;2;32;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:37;A181;1;0;0;2;5;3;34;0;100;0;0;1;3;1;3;2;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:35;A181;1;0;0;0;0;0;0;0;100;0;0;2;2;1;8;2;7;0;0;0;0;0;0;0;0;2;20;0;0;0;0
18.03.2025;22:33;A181;1;0;0;5;30;5;16;0;100;0;0;0;0;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:32;A181;1;0;0;0;0;2;5;0;100;0;0;0;0;0;0;4;34;0;0;3;23;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:30;A181;1;0;0;0;0;0;0;0;100;0;0;1;4;4;7;3;25;2;32;1;26;0;0;0;0;1;2;0;0;0;0
18.03.2025;22:29;A181;1;1;3;7;12;1;8;0;100;0;0;1;3;3;5;1;55;1;26;0;0;0;0;0;0;1;2;0;0;0;0
18.03.2025;22:28;A181;1;0;0;5;15;3;8;0;100;0;0;2;4;3;6;2;49;0;10;1;3;0;0;1;1;1;1;0;0;0;0
18.03.2025;22:27;A181;1;0;0;0;0;0;0;0;100;0;0;1;3;2;3;1;20;1;32;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:26;A181;1;0;0;2;8;1;7;0;100;0;0;1;4;2;5;3;27;3;3;1;28;0;0;0;0;1;2;0;0;0;0
18.03.2025;22:25;A181;1;0;0;0;0;0;0;0;100;0;0;1;4;1;2;2;32;0;0;1;7;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:23;A181;1;0;0;1;1;1;2;0;100;0;0;0;0;0;0;4;35;0;0;1;12;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:22;A181;1;0;0;2;2;0;0;0;100;0;0;2;11;1;21;3;45;0;0;1;3;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:21;A181;1;0;0;1;46;0;0;0;100;0;0;2;9;2;3;3;20;0;0;1;3;0;0;0;0;2;3;0;0;0;0
18.03.2025;22:19;A181;1;15;23;1;29;0;0;0;100;0;0;2;2;4;5;1;13;1;13;2;2;0;0;1;1;0;0;0;0;0;0
18.03.2025;22:16;A181;1;0;0;3;68;3;11;0;100;0;0;0;0;1;1;2;13;1;15;2;23;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:13;A181;1;1;1;3;3;1;1;0;100;0;0;1;3;1;2;2;40;1;23;1;11;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:11;A181;1;0;0;1;1;0;0;0;100;0;0;1;3;2;5;3;3;0;0;0;0;0;0;0;0;3;5;0;0;1;1
18.03.2025;22:10;A181;1;1;1;3;5;2;2;0;100;0;0;0;0;2;5;3;32;1;1;3;35;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:09;A181;1;0;0;2;2;0;0;0;100;0;0;0;0;1;3;1;44;1;19;0;45;0;0;0;0;0;0;0;0;0;0
18.03.2025;22:08;A181;1;0;0;3;43;2;21;0;100;0;0;0;0;0;0;3;42;2;20;1;2;3;11;0;0;0;0;0;0;0;0
18.03.2025;22:07;A181;1;0;0;4;7;2;24;0;100;0;0;2;5;2;4;2;14;0;0;0;0;0;0;0;0;1;5;0;0;0;0
18.03.2025;22:06;A181;1;1;1;2;2;0;0;0;100;0;0;1;2;3;4;1;34;2;19;2;3;0;0;2;3;0;0;2;2;0;0
18.03.2025;22:03;A181;1;1;1;2;2;1;2;0;100;0;0;2;4;2;8;3;6;1;1;1;1;0;0;0;0;1;2;1;2;0;0
18.03.2025;21:59;A181;1;1;1;6;9;1;2;0;100;0;0;0;0;2;5;2;17;1;28;0;0;0;0;0;0;1;1;0;0;0;0
18.03.2025;21:57;A181;1;0;0;5;9;1;1;0;100;0;0;0;0;0;0;0;0;0;0;1;6;0;0;0;0;2;3;0;0;1;2
18.03.2025;21:56;A181;1;0;0;2;2;0;0;0;100;0;0;1;2;2;3;0;38;1;3;0;0;0;0;0;0;0;0;0;0;0;0
18.03.2025;21:55;A181;1;1;2;3;2;2;2;0;100;0;0;0;0;0;0;3;19;1;1;2;17;1;3;2;2;0;0;0;0;0;0
18.03.2025;21:54;A181;1;0;0;1;5;0;0;0;100;0;0;2;2;1;1;3;49;2;8;1;47;0;0;0;0;0;0;0;0;0;0
