Datum;Uhrzeit;Bezeichnung;Intervall;TF41_AFZ;TF41_AFB;TB41_AFZ;TB41_AFB;TF41a_AFZ;TF41a_AFB;TB41a_AFZ;TB41a_AFB
25.07.2024;23:53;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:52;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:51;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:50;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:49;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:48;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:47;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:46;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:45;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:44;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:43;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:42;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:41;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:40;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:39;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:38;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:37;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:36;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:35;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:34;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:33;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:32;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:31;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:30;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:29;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:28;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:27;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:26;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:25;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:24;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:23;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:22;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:21;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:20;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:19;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:18;A115;1;0;0;0;0;0;0;0;0
25.07.2024;23:17;A115;1;0;0;0;0;0;0;0;0
