Datum;Uhrzeit;Bezeichnung;Intervall;T1Z;T1B;T2Z;T2B;V5Z;V5B;V11Z;V11B;V51Z;V51B;V111Z;V111B
26.02.2024;21:05;A 85;1;0;0;0;0;4;4;11;12;4;5;10;13
26.02.2024;21:04;A 85;1;0;0;0;0;1;1;0;0;2;2;0;0
26.02.2024;21:03;A 85;1;0;0;0;0;2;2;2;3;2;2;1;1
26.02.2024;21:02;A 85;1;0;0;0;0;2;2;5;6;2;2;5;7
26.02.2024;21:01;A 85;1;0;0;0;0;3;3;2;2;3;4;2;2
26.02.2024;21:00;A 85;1;0;0;0;0;0;0;5;7;0;0;5;6
26.02.2024;20:59;A 85;1;0;0;0;0;2;2;1;2;2;3;1;1
26.02.2024;20:58;A 85;1;0;0;0;0;3;4;5;6;3;4;5;6
26.02.2024;20:57;A 85;1;0;0;0;0;3;4;2;2;3;4;1;1
26.02.2024;20:56;A 85;1;0;0;0;0;1;1;4;4;1;2;4;5
26.02.2024;20:55;A 85;1;0;0;1;1;3;5;2;2;3;8;2;3
26.02.2024;20:54;A 85;1;0;0;0;0;4;3;3;4;4;5;3;4
26.02.2024;20:53;A 85;1;0;0;0;0;4;3;6;6;5;6;6;9
26.02.2024;20:52;A 85;1;0;0;0;0;2;2;1;1;1;1;1;1
26.02.2024;20:51;A 85;1;0;0;0;0;2;2;6;6;2;3;4;7
26.02.2024;20:50;A 85;1;0;0;0;0;3;3;2;2;3;4;1;1
26.02.2024;20:49;A 85;1;0;0;0;0;3;3;7;9;3;3;7;9
26.02.2024;20:48;A 85;1;0;0;0;0;2;2;4;4;2;3;5;6
26.02.2024;20:47;A 85;1;0;0;0;0;1;1;2;3;1;1;2;3
26.02.2024;20:46;A 85;1;0;0;0;0;0;0;1;3;0;0;2;3
26.02.2024;20:45;A 85;1;0;0;0;0;1;1;5;4;2;2;4;6
26.02.2024;20:44;A 85;1;0;0;0;0;5;5;1;1;5;6;1;1
26.02.2024;20:43;A 85;1;0;0;0;0;2;2;2;2;2;2;2;4
26.02.2024;20:42;A 85;1;1;1;0;0;3;2;5;7;3;4;4;8
26.02.2024;20:41;A 85;1;0;0;0;0;0;0;4;6;0;0;4;6
26.02.2024;20:40;A 85;1;0;0;0;0;2;2;3;3;2;2;3;4
26.02.2024;20:39;A 85;1;0;0;0;0;2;2;4;5;2;2;4;5
26.02.2024;20:38;A 85;1;0;0;0;0;3;3;2;2;3;4;1;1
26.02.2024;20:37;A 85;1;0;0;0;0;4;3;0;0;4;5;0;0
26.02.2024;20:36;A 85;1;0;0;0;0;2;2;3;4;2;3;3;4
26.02.2024;20:35;A 85;1;0;0;0;0;3;2;2;2;3;4;2;3
26.02.2024;20:34;A 85;1;0;0;0;0;2;2;3;3;2;3;2;3
26.02.2024;20:33;A 85;1;0;0;0;0;1;1;1;1;1;2;1;1
26.02.2024;20:32;A 85;1;0;0;0;0;3;2;4;5;3;4;3;5
26.02.2024;20:31;A 85;1;0;0;0;0;3;3;1;1;3;4;1;1
26.02.2024;20:30;A 85;1;0;0;0;0;4;4;4;5;4;5;4;6
26.02.2024;20:29;A 85;1;0;0;0;0;0;0;6;7;0;0;5;8
26.02.2024;20:28;A 85;1;0;0;0;0;7;6;6;6;7;8;4;5
26.02.2024;20:27;A 85;1;0;0;0;0;1;1;4;4;1;1;3;4
26.02.2024;20:26;A 85;1;0;0;0;0;5;4;4;4;5;5;4;6
26.02.2024;20:25;A 85;1;0;0;0;0;3;2;5;6;3;3;5;7
26.02.2024;20:24;A 85;1;0;0;0;0;3;3;2;3;3;5;2;3
26.02.2024;20:23;A 85;1;0;0;1;1;3;3;6;10;4;5;7;10
26.02.2024;20:22;A 85;1;0;0;0;0;4;3;5;5;3;4;4;5
26.02.2024;20:21;A 85;1;0;0;0;0;1;1;6;6;1;1;6;9
26.02.2024;20:20;A 85;1;0;0;0;0;2;2;9;9;2;3;8;11
26.02.2024;20:19;A 85;1;0;0;0;0;4;4;1;1;4;5;1;1
26.02.2024;20:18;A 85;1;0;0;0;0;0;0;4;4;0;0;3;4
26.02.2024;20:17;A 85;1;0;0;0;0;3;3;5;5;3;3;4;6
26.02.2024;20:16;A 85;1;0;0;0;0;1;1;5;6;1;1;4;6
26.02.2024;20:15;A 85;1;0;0;0;0;4;4;1;1;4;5;1;1
26.02.2024;20:14;A 85;1;0;0;0;0;3;3;5;6;4;4;5;7
26.02.2024;20:13;A 85;1;0;0;0;0;1;1;5;7;2;4;6;8
26.02.2024;20:12;A 85;1;0;0;0;0;3;3;7;7;2;2;6;9
26.02.2024;20:11;A 85;1;0;0;0;0;4;4;9;11;4;5;7;14
26.02.2024;20:10;A 85;1;0;0;0;0;3;3;5;12;3;4;6;9
26.02.2024;20:09;A 85;1;0;0;2;9;1;2;2;3;1;4;3;42
26.02.2024;20:08;A 85;1;0;0;0;0;3;3;3;4;5;41;2;6
26.02.2024;20:07;A 85;1;1;2;0;0;7;6;0;0;6;8;0;0
26.02.2024;20:06;A 85;1;0;0;0;0;1;1;1;1;1;2;1;1
26.02.2024;20:05;A 85;1;0;0;0;0;2;2;3;3;2;2;3;4
26.02.2024;20:04;A 85;1;0;0;0;0;4;3;5;5;4;5;5;8
26.02.2024;20:03;A 85;1;0;0;0;0;0;0;12;13;0;0;9;19
26.02.2024;20:02;A 85;1;0;0;0;0;3;2;1;1;3;4;1;1
26.02.2024;20:01;A 85;1;0;0;0;0;2;2;3;4;2;2;2;3
26.02.2024;20:00;A 85;1;0;0;0;0;3;3;7;9;3;4;7;10
26.02.2024;19:59;A 85;1;1;1;0;0;3;4;0;0;4;5;0;0
26.02.2024;19:58;A 85;1;0;0;0;0;1;1;14;15;1;1;11;17
26.02.2024;19:57;A 85;1;0;0;0;0;3;2;9;10;3;4;7;9
26.02.2024;19:56;A 85;1;1;1;0;0;4;26;3;5;4;41;3;51
26.02.2024;19:55;A 85;1;0;0;0;0;2;2;0;0;2;2;0;0
26.02.2024;19:54;A 85;1;0;0;0;0;6;6;9;12;6;8;8;11
26.02.2024;19:53;A 85;1;1;1;0;0;5;6;1;1;5;7;1;2
26.02.2024;19:52;A 85;1;0;0;0;0;4;3;7;8;4;5;6;8
26.02.2024;19:51;A 85;1;0;0;0;0;5;4;6;7;5;6;5;8
26.02.2024;19:50;A 85;1;2;2;0;0;2;1;6;7;2;2;5;8
26.02.2024;19:49;A 85;1;0;0;0;0;1;1;7;9;1;1;6;7
26.02.2024;19:48;A 85;1;0;0;0;0;5;4;6;8;5;7;8;13
26.02.2024;19:47;A 85;1;0;0;0;0;5;4;0;1;5;6;1;1
26.02.2024;19:46;A 85;1;0;0;0;0;5;5;4;4;5;6;3;4
26.02.2024;19:45;A 85;1;0;0;0;0;1;1;5;5;1;1;4;6
26.02.2024;19:44;A 85;1;0;0;0;0;4;4;1;1;4;5;1;2
26.02.2024;19:43;A 85;1;0;0;0;0;2;2;6;7;2;3;6;8
26.02.2024;19:42;A 85;1;0;0;0;0;5;4;8;12;5;6;8;11
26.02.2024;19:41;A 85;1;0;0;0;0;7;6;0;0;7;9;1;2
26.02.2024;19:40;A 85;1;0;0;0;0;7;8;7;8;7;11;7;10
26.02.2024;19:39;A 85;1;0;0;0;0;5;5;5;5;5;6;3;4
26.02.2024;19:38;A 85;1;0;0;1;1;0;0;0;0;1;1;0;0
26.02.2024;19:37;A 85;1;0;0;0;0;8;8;4;5;8;10;4;5
26.02.2024;19:36;A 85;1;0;0;0;0;4;4;7;8;4;6;7;10
26.02.2024;19:35;A 85;1;1;1;0;0;5;5;16;23;4;4;12;53
26.02.2024;19:34;A 85;1;0;0;0;0;4;4;2;3;3;3;2;3
26.02.2024;19:33;A 85;1;0;0;0;0;7;7;5;6;8;10;6;8
26.02.2024;19:32;A 85;1;1;1;0;0;8;26;9;14;7;36;10;33
26.02.2024;19:31;A 85;1;0;0;0;0;7;14;3;4;6;42;2;3
26.02.2024;19:30;A 85;1;0;0;1;1;6;5;4;4;6;9;3;4
26.02.2024;19:29;A 85;1;0;0;0;0;6;7;0;0;5;5;1;0
26.02.2024;19:28;A 85;1;0;0;0;0;7;6;7;8;6;7;8;10
