Datum;Uhrzeit;Bezeichnung;Intervall;V11Z;V11B;V21Z;V21B;D21Z;D21B;D41Z;D41B;D42Z;D42B;D43Z;D43B;V211Z;V211B;V81Z;V81B;V91Z;V91B;V44Z;V44B;T32aZ;T32aB;T32bZ;T32bB;V321Z;V321B;T32b_aZ;T32b_aB;T32b_bZ;T32b_bB;T33b_aZ;T33b_aB;T33b_bZ;T33b_bB;T35b_aZ;T35b_aB;T35b_bZ;T35b_bB;ST51aZ;ST51aB;ST51bZ;ST51bB;ST55Z;ST55B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;V4_StoerZ;V4_StoerB;V5_StoerZ;V5_StoerB;FQMC55Z;FQMC55B
17.06.2024;20:20;A155;1;0;0;0;0;3;30;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:19;A155;1;0;0;0;0;6;27;0;0;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
17.06.2024;20:18;A155;1;0;0;0;0;3;23;0;0;0;0;0;0;1;2;3;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:17;A155;1;1;1;0;0;8;36;0;0;0;0;0;0;0;3;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:16;A155;1;0;0;0;0;3;11;1;78;1;77;1;9;1;14;1;18;0;0;1;31;1;31;1;11;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:15;A155;1;0;0;0;0;2;25;1;34;1;35;2;23;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:14;A155;1;0;0;0;0;3;19;1;3;1;2;1;33;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:13;A155;1;0;0;0;0;5;36;0;0;1;0;2;14;0;0;2;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:12;A155;1;0;0;0;0;3;21;2;1;0;0;2;14;0;0;2;44;1;2;1;0;1;0;1;6;0;0;0;0;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:11;A155;1;0;0;1;35;3;59;0;0;0;0;1;10;2;3;1;9;0;0;0;0;0;0;1;13;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:10;A155;1;0;0;0;0;5;25;1;23;1;22;1;11;0;0;1;70;1;6;3;1;2;1;2;12;1;4;0;0;0;0;1;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:09;A155;1;0;0;0;0;6;47;5;53;4;29;3;23;1;2;3;36;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
17.06.2024;20:08;A155;1;0;0;0;0;5;70;2;66;2;66;4;72;0;0;3;23;0;0;1;3;1;3;1;46;1;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:07;A155;1;0;0;0;0;4;26;0;0;0;0;2;6;0;0;1;65;0;0;1;0;2;0;1;12;1;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:06;A155;1;0;0;0;0;1;7;1;2;0;8;3;40;0;0;0;10;1;39;1;2;1;1;3;28;1;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:05;A155;1;0;0;1;2;3;9;2;3;3;78;2;35;0;0;1;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:04;A155;1;0;0;0;0;3;16;2;0;1;0;1;6;0;0;4;50;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:03;A155;1;0;0;0;0;3;17;0;23;0;22;1;30;0;0;0;0;0;0;2;2;2;2;2;19;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:02;A155;1;1;3;1;2;3;49;1;45;1;46;1;11;0;0;4;28;1;3;0;0;0;0;2;10;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:01;A155;1;0;0;0;0;2;39;0;0;0;0;2;27;0;0;2;17;1;3;1;2;2;5;2;33;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;20:00;A155;1;2;5;0;0;1;1;0;0;0;0;1;5;0;0;0;0;0;0;0;0;1;0;3;21;0;75;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;19:59;A155;1;0;0;0;0;3;45;0;0;2;1;2;19;1;2;0;31;0;0;0;0;0;0;0;0;1;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;;;;;;;
17.06.2024;19:58;A155;1;0;0;0;0;2;45;0;0;0;0;0;0;0;0;2;51;0;0;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;19:57;A155;1;0;0;0;0;3;11;2;2;3;3;3;23;0;0;2;39;0;0;0;100;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;19:56;A155;1;0;0;1;2;4;28;6;2;4;2;3;33;1;4;1;32;0;0;0;100;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;19:55;A155;1;1;3;0;0;7;34;2;43;2;43;2;26;0;0;1;37;1;1;0;100;2;24;2;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;19:54;A155;1;0;0;0;0;0;0;1;1;1;1;1;7;0;0;2;32;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;19:53;A155;1;0;0;0;0;3;30;0;0;0;0;0;0;0;0;1;7;0;0;1;12;1;13;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
17.06.2024;19:52;A155;1;0;0;0;0;4;14;0;0;0;0;0;0;0;0;4;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
