Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;TF32Z;TF32B;TF32aZ;TF32aB;TB32Z;TB32B;TB32aZ;TB32aB;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B
28.04.2024;23:05;A127;1;3;14;4;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:04;A127;1;0;0;2;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:03;A127;1;1;5;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:02;A127;1;2;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:01;A127;1;1;4;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;23:00;A127;1;1;6;4;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:59;A127;1;1;6;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:58;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:57;A127;1;0;0;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:56;A127;1;2;16;3;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:55;A127;1;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:54;A127;1;2;4;2;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:53;A127;1;0;0;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:52;A127;1;1;5;3;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:51;A127;1;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:50;A127;1;1;9;4;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:49;A127;1;1;11;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:48;A127;1;2;4;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:47;A127;1;0;0;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:46;A127;1;1;3;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:45;A127;1;1;10;6;23;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:44;A127;1;2;8;3;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:43;A127;1;0;0;4;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:42;A127;1;0;0;5;19;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:41;A127;1;1;14;3;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:40;A127;1;2;17;3;31;1;1;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:39;A127;1;2;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:38;A127;1;1;7;4;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:37;A127;1;1;11;5;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:36;A127;1;2;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:35;A127;1;2;23;2;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:34;A127;1;2;20;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:33;A127;1;3;18;4;19;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:32;A127;1;1;11;7;19;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:31;A127;1;0;0;2;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:30;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:29;A127;1;1;5;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:28;A127;1;3;10;4;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:27;A127;1;0;0;3;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:26;A127;1;3;22;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:25;A127;1;1;10;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:24;A127;1;2;13;3;18;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:23;A127;1;2;18;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:22;A127;1;3;18;3;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:21;A127;1;1;5;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:20;A127;1;2;22;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:19;A127;1;0;0;2;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:18;A127;1;2;14;3;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:17;A127;1;1;5;4;15;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:16;A127;1;3;11;3;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:15;A127;1;1;5;5;17;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:14;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:13;A127;1;1;5;3;5;0;0;1;1;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:12;A127;1;2;20;5;24;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:11;A127;1;1;20;4;29;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:10;A127;1;2;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:09;A127;1;2;14;3;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:08;A127;1;3;15;5;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:07;A127;1;1;6;5;19;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:06;A127;1;2;26;6;66;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:05;A127;1;3;15;1;1;1;1;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:04;A127;1;1;9;9;27;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:03;A127;1;1;6;4;16;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:02;A127;1;2;13;3;18;1;1;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:01;A127;1;2;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;22:00;A127;1;1;5;4;8;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:59;A127;1;2;12;4;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:58;A127;1;0;0;3;8;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:57;A127;1;2;22;5;18;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:56;A127;1;4;32;3;28;0;0;1;1;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:55;A127;1;3;17;6;21;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:54;A127;1;3;13;5;16;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:53;A127;1;1;5;5;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:52;A127;1;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:51;A127;1;1;5;3;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:50;A127;1;4;34;2;22;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:49;A127;1;0;0;6;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:48;A127;1;1;4;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:47;A127;1;2;11;7;21;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:46;A127;1;2;11;2;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:45;A127;1;3;15;4;15;0;0;0;0;0;0;0;0;;;;;;;;;;;;
28.04.2024;21:44;A127;1;1;15;5;15;0;0;0;0;0;0;0;0;;;;;;;;;;;;
