Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;Anf_35Z;Anf_35B;Anf_41Z;Anf_41B
16.01.2025;15:19;A 70;1;1;59;3;6;2;87;15;39;5;5;0;0;7;88;0;100;2;2;0;0;0;0;;;;;;;;;;
16.01.2025;15:18;A 70;1;1;2;2;63;2;94;3;3;5;3;0;0;3;89;0;100;3;52;0;0;0;0;;;;;;;;;;
16.01.2025;15:17;A 70;1;2;61;3;81;5;89;8;27;6;4;0;0;3;7;0;100;2;6;0;0;0;0;;;;;;;;;;
16.01.2025;15:16;A 70;1;2;3;6;79;5;9;9;48;3;2;0;0;3;32;0;100;0;13;0;0;0;0;;;;;;;;;;
16.01.2025;15:15;A 70;1;1;33;7;34;11;70;4;23;0;0;0;0;5;5;0;100;3;60;0;0;1;2;;;;;;;;;;
16.01.2025;15:14;A 70;1;1;55;2;42;5;82;10;66;9;7;0;0;1;1;0;100;0;0;1;2;0;0;;;;;;;;;;
16.01.2025;15:13;A 70;1;0;0;6;87;2;95;12;35;3;3;0;0;6;87;0;100;5;8;0;0;0;0;;;;;;;;;;
16.01.2025;15:12;A 70;1;1;27;3;51;5;84;7;49;6;5;0;0;5;69;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:11;A 70;1;1;60;1;87;0;100;8;29;2;30;0;0;1;96;0;100;2;3;0;0;0;0;;;;;;;;;;
16.01.2025;15:10;A 70;1;0;0;6;51;4;88;5;18;2;17;0;0;7;33;0;100;2;15;0;0;0;1;;;;;;;;;;
16.01.2025;15:09;A 70;1;3;57;5;50;4;68;9;25;5;8;0;0;5;65;0;100;3;4;1;2;1;1;;;;;;;;;;
16.01.2025;15:08;A 70;1;0;0;2;48;1;1;7;82;4;72;0;0;4;33;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:07;A 70;1;1;45;2;2;2;5;19;38;3;38;0;0;5;81;0;100;0;0;0;0;0;0;;;;;;;;;;
16.01.2025;15:06;A 70;1;2;4;4;31;8;44;5;64;0;0;0;0;3;19;0;100;1;36;0;0;0;0;;;;;;;;;;
