Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D21Z;D21B;D31Z;D31B;D41Z;D41B;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B
16.01.2025;15:29;A111;1;2;5;2;36;6;11;0;0;0;0;0;0;0;0
16.01.2025;15:28;A111;1;4;5;6;57;7;16;1;0;0;0;0;0;0;0
16.01.2025;15:27;A111;1;2;2;0;0;10;21;0;0;0;0;0;0;0;0
16.01.2025;15:26;A111;1;3;6;2;50;7;11;2;1;0;0;0;0;0;0
16.01.2025;15:25;A111;1;7;23;4;54;4;30;0;0;0;0;0;0;0;0
16.01.2025;15:24;A111;1;8;11;0;0;10;14;1;1;0;0;0;0;0;0
16.01.2025;15:23;A111;1;2;4;5;18;3;5;1;0;0;0;0;0;0;0
16.01.2025;15:22;A111;1;8;52;6;12;4;20;0;0;0;0;0;0;0;0
16.01.2025;15:21;A111;1;5;42;1;2;2;2;0;0;0;0;0;0;0;0
16.01.2025;15:20;A111;1;2;5;4;63;9;8;1;0;0;0;0;0;0;0
16.01.2025;15:19;A111;1;6;9;6;57;3;62;2;1;0;0;0;0;0;0
16.01.2025;15:18;A111;1;8;24;5;12;4;18;0;0;0;0;0;0;0;0
16.01.2025;15:17;A111;1;4;24;4;63;7;12;0;0;0;0;0;0;0;0
16.01.2025;15:16;A111;1;8;37;2;54;5;58;0;0;0;0;0;0;0;0
16.01.2025;15:15;A111;1;6;24;2;79;7;15;0;0;0;0;0;0;0;0
16.01.2025;15:14;A111;1;2;4;6;53;6;9;1;0;0;0;0;0;0;0
16.01.2025;15:13;A111;1;6;54;3;54;7;15;0;0;0;0;0;0;0;0
16.01.2025;15:12;A111;1;5;55;5;76;8;56;0;0;0;0;0;0;0;0
16.01.2025;15:11;A111;1;5;60;6;74;9;14;0;0;0;0;0;0;0;0
16.01.2025;15:10;A111;1;6;16;4;41;4;34;0;0;0;0;0;0;0;0
16.01.2025;15:09;A111;1;11;30;1;45;10;29;1;3;0;0;0;0;0;0
16.01.2025;15:08;A111;1;6;12;6;73;8;29;0;0;0;0;0;0;0;0
16.01.2025;15:07;A111;1;5;6;5;64;4;3;1;1;0;0;0;0;0;0
16.01.2025;15:06;A111;1;6;34;1;77;13;26;0;0;0;0;0;0;0;0
16.01.2025;15:05;A111;1;3;63;7;30;5;32;0;0;0;0;0;0;0;0
