Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D57Z;D57B;A5_M1_460Z;A5_M1_460B;A57_M2_464Z;A57_M2_464B;T7_8Z;T7_8B;D43Z;D43B
17.01.2025;23:09;A 10;1;3;7;1;1;1;1;0;0;0;100;0;100;0;0;3;4;0;0;3;76;1;2;0;0;0;0;0;0;0;0;4;6
17.01.2025;23:08;A 10;1;2;4;2;2;0;0;0;0;0;100;0;100;1;1;1;1;0;0;0;68;1;24;0;0;0;0;0;0;0;0;2;3
17.01.2025;23:07;A 10;1;1;2;2;4;0;1;0;0;0;100;0;100;0;0;1;2;4;12;1;34;0;0;0;0;0;0;0;0;0;0;1;2
17.01.2025;23:06;A 10;1;0;0;1;1;2;2;0;0;0;100;0;100;1;2;2;3;0;0;1;1;0;35;0;0;0;0;0;0;0;0;5;8
17.01.2025;23:05;A 10;1;0;2;1;1;0;0;0;0;0;100;0;100;1;1;2;3;1;2;3;23;1;18;1;6;0;0;1;2;0;0;3;4
17.01.2025;23:04;A 10;1;2;2;1;2;1;1;1;20;0;100;0;100;0;0;2;3;0;0;1;43;0;0;0;0;0;0;0;0;0;0;2;3
17.01.2025;23:03;A 10;1;1;3;2;3;0;0;0;0;0;100;0;100;0;0;2;2;3;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0
17.01.2025;23:02;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;2;4;0;0;0;0;2;27;0;0;0;0;0;0;0;0;0;0;4;5
17.01.2025;23:01;A 10;1;2;3;0;0;1;1;0;26;0;100;0;100;2;3;0;0;1;2;1;27;0;69;1;14;0;0;0;0;0;0;1;1
17.01.2025;23:00;A 10;1;2;2;3;4;0;0;1;35;0;100;0;100;2;3;2;3;1;2;1;29;1;24;0;0;0;0;0;0;0;0;1;2
17.01.2025;22:59;A 10;1;0;0;2;3;1;1;0;0;0;100;0;100;2;3;1;1;0;0;2;32;1;2;0;0;1;2;0;0;0;0;3;5
17.01.2025;22:58;A 10;1;0;0;2;4;1;2;0;0;0;100;0;100;2;4;1;2;1;3;1;19;0;0;0;0;0;0;0;0;0;0;2;3
17.01.2025;22:57;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;2;2;3;2;4;2;59;0;0;1;1;0;0;0;0;1;1;2;3
17.01.2025;22:56;A 10;1;2;3;2;2;0;0;0;0;0;100;0;100;4;5;0;0;2;4;3;52;1;21;1;3;0;1;0;0;0;0;1;2
17.01.2025;22:55;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;4;7;2;5;1;41;1;32;0;0;1;1;0;0;1;3;2;4
17.01.2025;22:54;A 10;1;2;3;2;3;0;0;1;1;0;100;0;100;2;3;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;3;5
17.01.2025;22:53;A 10;1;1;2;5;6;0;0;0;0;0;100;0;100;2;3;2;3;2;5;3;58;1;21;0;0;0;0;0;0;0;0;1;1
17.01.2025;22:52;A 10;1;1;2;0;0;0;0;0;0;0;100;0;100;0;0;2;3;4;10;1;9;0;0;0;0;0;0;0;0;0;0;4;5
17.01.2025;22:51;A 10;1;1;2;0;0;1;2;0;0;0;100;0;100;0;0;1;2;1;3;1;21;0;0;0;0;0;0;0;0;1;1;0;0
17.01.2025;22:50;A 10;1;3;5;2;2;0;0;0;0;0;100;0;100;0;0;0;0;1;2;0;2;1;3;0;0;0;0;0;0;0;0;2;3
17.01.2025;22:49;A 10;1;0;3;1;2;0;0;0;0;0;100;0;100;1;1;1;1;2;4;1;43;1;52;0;0;0;0;0;0;1;2;2;3
