Datum;Uhrzeit;Bezeichnung;Intervall;V51_A9/M2_510Z;V51_A9/M2_510B;H51_A135/1_492Z;H51_A135/1_492B;A51_M1_493Z;A51_M1_493B;H55_A110/M3_12XZ;H55_A110/M3_12XB;A55_M2_1290/12XZ;A55_M2_1290/12XB;MP3_SL_A110Z;MP3_SL_A110B;Anf_32Z;Anf_32B
03.12.2024;23:49;A 74;1;0;0;0;0;2;6;0;0;0;0;0;0;0;0
03.12.2024;23:48;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:47;A 74;1;0;0;1;11;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:46;A 74;1;0;0;0;0;1;7;0;0;0;0;0;0;0;0
03.12.2024;23:45;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:44;A 74;1;0;0;0;0;0;0;0;0;1;4;0;0;0;0
03.12.2024;23:43;A 74;1;0;0;0;0;2;7;0;0;0;0;0;0;0;0
03.12.2024;23:42;A 74;1;0;0;1;28;0;5;0;0;0;0;0;0;0;0
03.12.2024;23:41;A 74;1;0;0;1;6;5;25;0;0;0;0;0;0;0;0
03.12.2024;23:40;A 74;1;0;0;1;8;1;2;0;0;0;0;0;0;0;0
03.12.2024;23:39;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:38;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:37;A 74;1;0;0;1;19;2;5;0;0;0;0;0;0;0;0
03.12.2024;23:36;A 74;1;0;0;1;9;1;6;0;0;0;0;0;0;0;0
03.12.2024;23:35;A 74;1;0;0;1;10;4;18;0;0;0;0;0;0;0;0
03.12.2024;23:34;A 74;1;0;0;1;10;1;6;1;1;0;0;0;0;0;0
03.12.2024;23:33;A 74;1;0;0;0;0;1;6;0;0;0;0;0;0;0;0
03.12.2024;23:32;A 74;1;0;0;1;14;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:31;A 74;1;0;0;1;14;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:30;A 74;1;0;0;1;9;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:29;A 74;1;0;0;2;7;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:28;A 74;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0
03.12.2024;23:27;A 74;1;0;0;2;18;1;3;0;0;0;0;0;0;0;0
03.12.2024;23:26;A 74;1;0;0;1;13;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:25;A 74;1;0;0;1;10;1;12;0;0;0;0;0;0;0;0
03.12.2024;23:24;A 74;1;0;0;0;0;0;0;0;0;0;8;0;0;1;1
03.12.2024;23:23;A 74;1;2;6;1;10;0;93;1;5;1;1;0;0;0;0
03.12.2024;23:22;A 74;1;1;4;0;0;1;42;0;0;1;20;1;1;1;1
03.12.2024;23:21;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:20;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:19;A 74;1;0;0;1;8;1;8;0;0;0;0;0;0;0;0
03.12.2024;23:18;A 74;1;0;0;1;9;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:17;A 74;1;0;0;0;0;3;18;0;0;1;5;0;0;0;0
03.12.2024;23:16;A 74;1;0;0;1;12;2;23;1;0;1;7;0;0;0;0
03.12.2024;23:15;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;23:14;A 74;1;0;2;0;0;3;13;0;0;0;0;0;0;0;0
03.12.2024;23:13;A 74;1;1;0;2;27;2;9;0;0;0;0;0;0;0;0
03.12.2024;23:12;A 74;1;0;0;1;27;1;8;0;0;0;0;0;0;0;0
03.12.2024;23:11;A 74;1;0;0;1;2;1;9;0;0;2;15;0;0;0;0
03.12.2024;23:10;A 74;1;0;0;2;25;1;14;0;0;0;0;0;0;0;0
03.12.2024;23:09;A 74;1;0;0;0;0;1;8;0;0;0;0;0;0;0;0
03.12.2024;23:08;A 74;1;0;0;1;15;1;11;0;0;0;0;0;0;0;0
03.12.2024;23:07;A 74;1;0;0;3;29;2;6;0;0;1;9;0;0;1;1
03.12.2024;23:06;A 74;1;0;0;0;0;1;50;0;0;1;18;0;0;0;0
03.12.2024;23:05;A 74;1;0;0;1;10;2;19;0;0;0;0;1;1;0;0
03.12.2024;23:04;A 74;1;0;0;2;13;1;7;0;0;0;0;0;0;0;0
03.12.2024;23:03;A 74;1;0;0;3;25;1;7;0;0;0;0;0;0;0;0
03.12.2024;23:02;A 74;1;0;0;1;11;2;24;0;0;0;0;0;0;0;0
03.12.2024;23:01;A 74;1;0;0;0;0;3;11;0;0;1;6;0;0;0;0
03.12.2024;23:00;A 74;1;0;0;1;10;3;7;0;0;0;0;0;0;0;0
03.12.2024;22:59;A 74;1;0;0;0;0;2;10;0;0;2;9;0;0;0;0
03.12.2024;22:58;A 74;1;0;0;3;12;2;36;0;0;0;0;0;0;0;0
03.12.2024;22:57;A 74;1;0;0;1;21;0;5;0;0;2;14;0;0;0;0
03.12.2024;22:56;A 74;1;0;0;1;11;2;13;0;0;1;11;0;0;0;0
03.12.2024;22:55;A 74;1;0;0;1;9;2;18;1;0;0;0;0;0;0;0
03.12.2024;22:54;A 74;1;0;0;0;0;2;24;0;0;1;11;1;1;0;0
03.12.2024;22:53;A 74;1;0;0;1;11;2;7;0;0;0;0;1;1;0;0
03.12.2024;22:52;A 74;1;2;9;1;9;3;37;2;5;0;0;0;0;0;0
03.12.2024;22:51;A 74;1;0;0;1;10;1;9;0;0;0;0;0;0;0;0
03.12.2024;22:50;A 74;1;0;0;0;0;0;0;0;0;1;22;0;0;0;0
03.12.2024;22:49;A 74;1;1;9;0;0;1;12;0;0;0;0;0;0;0;0
03.12.2024;22:48;A 74;1;0;0;0;0;3;18;0;0;1;17;0;0;0;0
03.12.2024;22:47;A 74;1;0;0;1;13;1;20;0;0;1;16;1;1;0;0
03.12.2024;22:46;A 74;1;1;15;1;18;1;8;0;0;0;0;0;0;0;0
03.12.2024;22:45;A 74;1;0;0;0;0;0;0;0;0;1;15;0;0;0;0
03.12.2024;22:44;A 74;1;0;0;2;10;2;15;0;0;1;7;0;0;0;0
03.12.2024;22:43;A 74;1;0;0;3;14;1;4;0;0;1;7;0;0;1;1
03.12.2024;22:42;A 74;1;0;0;0;0;2;64;0;0;1;11;0;0;0;0
03.12.2024;22:41;A 74;1;0;0;0;0;1;7;0;0;0;0;0;0;1;1
03.12.2024;22:40;A 74;1;0;0;0;0;3;9;0;0;0;0;0;0;0;0
03.12.2024;22:39;A 74;1;0;0;1;7;1;4;0;0;0;0;0;0;0;0
03.12.2024;22:38;A 74;1;0;0;1;11;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:37;A 74;1;0;0;2;27;4;15;0;0;0;0;0;0;0;0
03.12.2024;22:36;A 74;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:35;A 74;1;0;0;2;18;1;15;0;0;0;6;0;0;0;0
03.12.2024;22:34;A 74;1;0;0;3;33;3;30;0;0;1;9;1;1;0;0
03.12.2024;22:33;A 74;1;0;0;3;30;3;17;0;0;0;0;0;0;0;0
03.12.2024;22:32;A 74;1;0;0;3;30;2;20;1;2;0;0;0;0;0;0
03.12.2024;22:31;A 74;1;0;0;2;21;1;8;0;0;0;0;0;0;0;0
03.12.2024;22:30;A 74;1;0;0;0;0;4;25;0;0;1;7;0;0;0;0
03.12.2024;22:29;A 74;1;0;0;0;1;2;82;0;0;1;17;0;0;0;0
03.12.2024;22:28;A 74;1;0;0;2;17;3;15;0;0;0;0;0;0;1;1
03.12.2024;22:27;A 74;1;0;0;1;18;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:26;A 74;1;0;0;1;8;2;17;1;0;0;0;0;0;0;0
03.12.2024;22:25;A 74;1;0;0;1;15;2;6;0;0;0;0;0;0;0;0
03.12.2024;22:24;A 74;1;0;0;2;22;2;4;0;0;0;0;0;0;0;0
03.12.2024;22:23;A 74;1;0;0;2;25;3;17;0;0;0;0;0;0;0;0
03.12.2024;22:22;A 74;1;0;0;2;24;2;11;0;0;0;0;0;0;0;0
03.12.2024;22:21;A 74;1;0;0;1;9;2;14;0;0;0;0;0;0;0;0
03.12.2024;22:20;A 74;1;0;0;0;0;4;86;1;1;0;0;0;0;0;0
03.12.2024;22:19;A 74;1;0;0;1;15;1;31;0;0;0;0;0;0;0;0
03.12.2024;22:18;A 74;1;0;0;4;38;3;27;1;5;1;13;1;1;0;0
03.12.2024;22:17;A 74;1;0;0;1;15;2;14;0;0;0;0;0;0;0;0
03.12.2024;22:16;A 74;1;0;0;1;12;1;9;0;0;1;7;0;0;0;0
03.12.2024;22:15;A 74;1;0;0;0;0;2;17;0;0;0;0;0;0;0;0
03.12.2024;22:14;A 74;1;0;0;0;0;1;4;0;0;1;8;0;0;0;0
