Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;MP1Z;MP1B;MP2Z;MP2B;T1_2Z;T1_2B
03.12.2024;22:41;A 96;1;0;100;0;100;1;2;0;0;1;1;0;0;2;2;0;0;0;0;0;0
03.12.2024;22:40;A 96;1;0;100;0;100;1;23;0;0;1;3;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:39;A 96;1;0;100;0;100;0;0;0;35;0;0;1;1;2;1;0;0;0;0;0;0
03.12.2024;22:38;A 96;1;0;100;0;100;1;7;1;83;0;0;3;4;4;4;0;0;0;0;0;0
03.12.2024;22:37;A 96;1;0;100;0;100;2;3;2;2;0;0;1;1;1;1;0;0;0;0;0;0
03.12.2024;22:36;A 96;1;0;100;0;100;0;0;0;0;1;23;1;1;1;0;0;0;0;0;0;0
03.12.2024;22:35;A 96;1;0;100;0;100;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0
03.12.2024;22:34;A 96;1;0;100;0;100;2;35;0;0;1;55;1;1;0;0;0;0;0;0;0;0
03.12.2024;22:33;A 96;1;0;100;0;100;2;4;0;0;1;4;3;7;1;3;0;0;0;0;1;2
03.12.2024;22:32;A 96;1;0;100;0;100;0;0;0;0;0;0;4;5;6;6;0;0;0;0;0;0
03.12.2024;22:31;A 96;1;0;100;0;100;1;2;0;0;0;0;2;3;1;1;0;0;0;0;0;0
03.12.2024;22:30;A 96;1;0;100;0;100;2;51;0;0;0;0;3;3;5;5;0;0;0;0;0;0
03.12.2024;22:29;A 96;1;0;100;0;100;1;43;0;0;0;0;2;1;2;2;0;0;0;0;0;0
03.12.2024;22:28;A 96;1;0;100;0;100;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03.12.2024;22:27;A 96;1;0;100;0;100;0;0;0;0;0;0;1;1;2;2;0;0;0;0;0;0
