Datum;Uhrzeit;Bezeichnung;Intervall;D1Z;D1B;D2Z;D2B;FG35HZ;FG35HB;FG35WZ;FG35WB;TS_SchluesselschalterZ;TS_SchluesselschalterB;TS_WarteZ;TS_WarteB;TS_BrandmeldungZ;TS_BrandmeldungB;D3Z;D3B
03.12.2024;19:21;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;19:17;A102;1;4;4;2;1;0;0;0;0;0;0;0;0;0;0;7;11
03.12.2024;19:16;A102;1;4;5;1;1;0;0;0;0;0;0;0;0;0;0;7;6
03.12.2024;19:14;A102;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;8;8
03.12.2024;19:06;A102;1;3;22;0;0;0;0;0;0;0;0;0;0;0;0;1;1
03.12.2024;19:03;A102;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;10;9
03.12.2024;18:50;A102;1;7;8;0;0;0;0;0;0;0;0;0;0;0;0;5;7
03.12.2024;17:41;A102;1;2;2;0;0;1;2;0;0;0;0;0;0;0;0;10;13
03.12.2024;17:26;A102;1;7;21;0;0;0;0;0;0;0;0;0;0;0;0;13;18
03.12.2024;16:57;A102;1;4;6;2;1;0;0;0;0;0;0;0;0;0;0;14;18
03.12.2024;16:10;A102;1;4;5;0;0;0;0;0;0;0;0;0;0;0;0;17;18
03.12.2024;16:06;A102;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;12;12
03.12.2024;16:03;A102;1;6;41;0;0;0;0;1;2;0;0;0;0;0;0;9;10
03.12.2024;15:59;A102;1;5;17;1;1;2;2;0;0;0;0;0;0;0;0;12;17
03.12.2024;15:58;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;3;4
03.12.2024;15:30;A102;1;6;6;1;1;0;0;0;0;0;0;0;0;0;0;11;11
03.12.2024;14:47;A102;1;5;5;1;1;0;0;0;0;0;0;0;0;0;0;8;8
03.12.2024;14:05;A102;1;4;4;1;2;0;0;0;0;0;0;0;0;0;0;8;10
03.12.2024;13:43;A102;1;4;4;1;1;0;0;0;0;0;0;0;0;0;0;8;8
03.12.2024;13:08;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;12:57;A102;1;5;6;1;1;0;0;0;0;0;0;0;0;0;0;10;12
03.12.2024;12:39;A102;1;11;12;0;0;0;0;0;0;0;0;0;0;0;0;2;3
03.12.2024;12:33;A102;1;3;3;2;1;0;0;0;0;0;0;0;0;0;0;6;7
03.12.2024;12:12;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;11:49;A102;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;7;8
03.12.2024;11:39;A102;1;3;17;0;0;0;0;0;0;0;0;0;0;0;0;9;13
03.12.2024;11:35;A102;1;7;8;2;1;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;11:19;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;11;13
03.12.2024;11:11;A102;1;3;3;1;1;0;0;0;0;0;0;0;0;0;0;6;7
03.12.2024;11:10;A102;1;4;5;1;1;0;0;0;0;0;0;0;0;0;0;9;15
03.12.2024;11:09;A102;1;7;9;0;0;0;0;0;0;0;0;0;0;0;0;10;12
03.12.2024;11:04;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;9;11
03.12.2024;11:03;A102;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;8;9
03.12.2024;11:02;A102;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;5;6
03.12.2024;10:58;A102;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;11;11
03.12.2024;10:56;A102;1;4;6;1;0;0;0;1;1;0;0;0;0;0;0;3;3
03.12.2024;10:55;A102;1;3;4;2;1;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;10:53;A102;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;9;13
03.12.2024;10:50;A102;1;2;2;1;1;0;0;0;0;0;0;0;0;0;0;10;9
03.12.2024;10:45;A102;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;11;14
03.12.2024;10:42;A102;1;5;6;2;1;0;0;0;0;0;0;0;0;0;0;9;10
03.12.2024;10:38;A102;1;8;17;0;0;0;0;0;0;0;0;0;0;0;0;5;6
03.12.2024;10:36;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;12;14
03.12.2024;10:35;A102;1;2;2;0;0;1;4;0;0;0;0;0;0;0;0;7;9
03.12.2024;10:28;A102;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;7;7
03.12.2024;10:24;A102;1;5;7;1;0;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;10:22;A102;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;6;6
03.12.2024;10:21;A102;1;3;2;2;1;0;0;0;0;0;0;0;0;0;0;8;7
03.12.2024;10:18;A102;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;10;15
03.12.2024;10:15;A102;1;3;3;3;2;0;0;0;0;0;0;0;0;0;0;9;11
03.12.2024;10:11;A102;1;4;5;3;5;0;0;0;0;0;0;0;0;0;0;6;9
03.12.2024;10:04;A102;1;1;1;4;2;0;0;0;0;0;0;0;0;0;0;9;9
03.12.2024;10:01;A102;1;3;3;3;5;0;0;0;0;0;0;0;0;0;0;5;11
03.12.2024;09:59;A102;1;0;0;5;2;0;0;0;0;0;0;0;0;0;0;10;10
03.12.2024;09:58;A102;1;1;3;2;1;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;09:57;A102;1;5;5;2;1;0;0;0;0;0;0;0;0;0;0;7;8
03.12.2024;09:49;A102;1;2;36;2;1;0;0;1;12;0;0;0;0;0;0;9;13
03.12.2024;09:47;A102;1;3;3;1;0;0;0;0;0;0;0;0;0;0;0;6;5
03.12.2024;09:43;A102;1;5;6;1;0;0;0;0;0;0;0;0;0;0;0;5;5
03.12.2024;09:40;A102;1;2;2;2;0;0;0;0;0;0;0;0;0;0;0;6;6
03.12.2024;09:34;A102;1;4;6;0;0;2;2;0;0;0;0;0;0;0;0;4;4
03.12.2024;09:31;A102;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;7;9
03.12.2024;09:30;A102;1;3;3;2;1;0;0;0;0;0;0;0;0;0;0;7;8
03.12.2024;09:24;A102;1;3;7;2;1;0;0;1;2;0;0;0;0;0;0;9;9
03.12.2024;09:22;A102;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;10;10
03.12.2024;09:17;A102;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;4;4
03.12.2024;09:12;A102;1;4;6;1;1;0;0;0;0;0;0;0;0;0;0;6;6
03.12.2024;09:11;A102;1;4;5;2;1;0;0;0;0;0;0;0;0;0;0;12;11
03.12.2024;09:10;A102;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;2;2
03.12.2024;09:07;A102;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4;6
03.12.2024;09:05;A102;1;1;1;3;1;0;0;0;0;0;0;0;0;0;0;7;6
03.12.2024;08:55;A102;1;7;9;0;0;0;0;0;0;0;0;0;0;0;0;7;7
03.12.2024;08:51;A102;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;8;12
03.12.2024;08:42;A102;1;5;5;2;1;0;0;0;0;0;0;0;0;0;0;14;16
03.12.2024;08:18;A102;1;7;6;1;3;0;0;0;0;0;0;0;0;0;0;11;16
03.12.2024;08:17;A102;1;3;3;1;1;0;0;0;0;0;0;0;0;0;0;3;4
03.12.2024;08:09;A102;1;2;1;2;1;0;0;0;0;0;0;0;0;0;0;9;12
03.12.2024;07:57;A102;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;19;19
03.12.2024;07:48;A102;1;3;3;1;1;0;0;0;0;0;0;0;0;0;0;10;11
03.12.2024;07:22;A102;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;8;10
03.12.2024;07:21;A102;1;5;5;2;1;1;6;0;0;0;0;0;0;0;0;10;13
