Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D41Z;D41B;D42Z;D42B;T1Z;T1B;T2Z;T2B;T3Z;T3B;T4Z;T4B
26.06.2024;21:20;A 19;1;1;11;3;9;1;46;0;0;0;0;0;0;0;0
26.06.2024;21:19;A 19;1;2;46;2;7;1;1;3;2;0;0;0;0;0;0
26.06.2024;21:18;A 19;1;3;32;1;21;1;2;0;0;0;0;0;0;0;0
26.06.2024;21:17;A 19;1;2;24;4;39;0;0;0;0;0;0;1;1;0;0
26.06.2024;21:16;A 19;1;3;44;1;14;0;0;0;0;0;0;1;1;0;0
26.06.2024;21:15;A 19;1;1;19;0;0;0;0;2;2;0;0;0;0;1;1
26.06.2024;21:14;A 19;1;6;62;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:13;A 19;1;7;59;1;3;1;1;0;0;1;2;1;3;0;0
26.06.2024;21:12;A 19;1;3;5;2;69;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:11;A 19;1;3;45;1;3;1;47;0;0;0;0;0;0;0;0
26.06.2024;21:10;A 19;1;1;19;1;2;1;2;1;1;1;1;0;0;0;0
26.06.2024;21:09;A 19;1;1;37;1;2;3;3;0;0;0;0;0;0;1;1
26.06.2024;21:08;A 19;1;6;28;1;50;0;0;0;0;0;0;1;1;0;0
26.06.2024;21:07;A 19;1;2;51;2;6;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:06;A 19;1;1;34;3;27;0;0;0;0;1;2;2;6;0;0
26.06.2024;21:05;A 19;1;1;25;2;6;2;2;0;0;0;0;0;0;0;0
26.06.2024;21:04;A 19;1;1;40;1;22;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:03;A 19;1;1;56;1;1;1;5;0;0;0;0;1;3;1;1
26.06.2024;21:02;A 19;1;3;59;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;21:01;A 19;1;1;17;1;2;1;0;0;0;0;0;0;0;1;1
26.06.2024;21:00;A 19;1;1;58;0;0;0;0;0;0;0;0;0;0;0;0
26.06.2024;20:59;A 19;1;2;68;0;0;0;0;1;2;0;0;0;0;0;0
26.06.2024;20:58;A 19;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
