Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D28Z;D28B;D29Z;D29B;D70Z;D70B;H53-Bahn_M1_Z;H53-Bahn_M1_B;A53-Bahn_M2_Z;A53-Bahn_M2_B;H53-Bus_M3_Z;H53-Bus_M3_B;A53-Bus_M4_Z;A53-Bus_M4_B;STRAB_53dZ;STRAB_53dB;STRAB_57dZ;STRAB_57dB;Anf_32Z;Anf_32B;Anf_38Z;Anf_38B;FeuerwehrZ;FeuerwehrB
20.12.2024;23:53;A 12;1;0;0;0;0;1;29;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
20.12.2024;23:52;A 12;1;1;1;2;2;1;1;0;0;0;0;3;4;2;3;0;0;2;2;1;48;2;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;14
20.12.2024;23:51;A 12;1;0;0;1;0;2;17;2;2;1;1;4;4;2;2;2;3;3;4;2;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:50;A 12;1;1;2;2;2;0;0;0;0;0;46;3;4;0;0;0;0;2;4;2;33;1;1;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:49;A 12;1;3;3;1;1;1;1;0;0;1;77;2;2;2;2;0;0;0;0;1;12;2;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:48;A 12;1;0;0;0;0;1;4;1;1;1;13;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3
20.12.2024;23:47;A 12;1;1;1;1;1;0;0;0;0;1;45;4;5;2;3;0;0;1;2;1;72;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:46;A 12;1;2;2;1;1;1;18;0;0;0;0;0;0;0;0;0;13;1;2;1;58;3;3;4;4;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:45;A 12;1;3;6;3;4;1;12;0;0;0;0;2;1;1;1;1;65;4;5;3;52;1;1;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:44;A 12;1;1;1;2;2;1;17;0;0;0;0;3;3;1;1;2;15;1;1;1;60;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:43;A 12;1;5;6;2;2;3;7;0;0;0;0;3;3;2;3;0;0;2;3;2;24;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:42;A 12;1;1;1;2;2;0;0;2;1;0;31;5;5;3;4;0;0;3;3;4;40;2;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;9
20.12.2024;23:41;A 12;1;1;1;0;0;2;3;1;3;0;100;3;3;1;1;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:40;A 12;1;1;1;1;1;2;3;1;73;1;87;1;1;1;2;0;0;1;1;0;0;1;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:39;A 12;1;0;0;2;2;2;43;0;0;0;0;3;4;1;1;0;4;1;2;1;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20.12.2024;23:38;A 12;1;0;0;1;1;0;0;1;47;1;47;5;8;2;2;1;38;3;3;3;34;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7
20.12.2024;23:37;A 12;1;2;2;0;0;0;0;1;16;1;15;3;4;2;4;0;0;2;3;1;31;1;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;3
